Período,Empleo,Var. %  interanual,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Fuente,Var. % Trimestral,Var. % interanual,"Agricultura, ganadería y pesca",Minería y petróleo,Industria,"Electricidad, gas y agua",Construcción,Comercio,Servicios,Total ,Minería y petróleo (3),"Electricidad, gas y agua (3)"
4º Trim 2001,3780605.0,,,,,,C1.2,-0.030524612528335937,-0.05738885139270955,,,,,,,,,,
1º Trim 2002,3590887.0,,,,,,C1.2,-0.0501819153283668,-0.10524592557634471,,,,,,,,,,
2º Trim 2002,3515727.0,,,,,,C1.2,-0.02093076167531871,-0.11877088569901739,,,,,,,,,,
3º Trim 2002,3488167.0,,,,,,C1.2,-0.007839061451585971,-0.10551563734088276,,,,,,,,,,
4º Trim 2002,3500873.0,,,,,,C1.2,0.003642600827311382,-0.07399133207515729,,,,,,,,,,
1º Trim 2003,3579941.0,,,,,,C1.2,0.022585223742763505,-0.003048271917217127,,,,,,,,,,
2º Trim 2003,3675875.0,,,,,,C1.2,0.026797648341131852,0.04555188727679926,,,,,,,,,,
3º Trim 2003,3777914.0,,,,,,C1.2,0.027759104975005888,0.08306569037548939,,,,,,,,,,
4º Trim 2003,3882368.0,,,,,,C1.2,0.027648591259621158,0.108971390850225,,,,,,,,,,
1º Trim 2004,3990681.0,,,,,,C1.2,0.027898694817183767,0.1147337344386401,,,,,,,,,,
2º Trim 2004,4104943.0,,,,,,C1.2,0.028632205881652828,0.11672540551569344,,,,,,,,,,
3º Trim 2004,4258642.0,,,,,,C1.2,0.037442420028731105,0.12724694103677314,,,,,,,,,,
4º Trim 2004,4378624.0,,,,,,C1.2,0.028173769948260485,0.1278230193531371,,,,,,,,,,
1º Trim 2005,4511063.0,,,,,,C1.2,0.03024671677677726,0.13039929776396564,,,,,,,,,,
2º Trim 2005,4632880.0,,,,,,C1.2,0.027004056471833904,0.12861006839802647,,,,,,,,,,
3º Trim 2005,4750549.0,,,,,,C1.2,0.025398672100291897,0.1155079483084045,,,,,,,,,,
4º Trim 2005,4879220.0,,,,,,C1.2,0.02708550106524532,0.11432724070392886,,,,,,,,,,
1º Trim 2014,6422084.0,,,,,,C1.2,-0.0024266407940964907,0.0015278480205267453,,,,,,,,,,
1º Trim 1996,,,,,,,C2.1,,,242363.0,33052.0,884282.0,44277.0,182266.0,520178.0,1517860.0,3424278.0,,
2º Trim 1996,,,,,,,C2.1,,,245658.0,33732.0,892050.0,44639.0,186361.0,527860.0,1535203.0,3465503.0,,
3º Trim 1996,,,,,,,C2.1,,,241170.0,34170.0,898198.0,45254.0,202370.0,536994.0,1570251.0,3528407.0,,
4º Trim 1996,,,,,,,C2.1,,,247030.0,36234.0,912318.0,44488.0,216490.0,552783.0,1617638.0,3626981.0,,
1º Trim 1997,,,,,,,C2.1,,,268980.0,35707.0,923616.0,44709.0,232424.0,563901.0,1655183.0,3724520.0,,
2º Trim 1997,,,,,,,C2.1,,,268271.0,37067.0,934635.0,45016.0,236270.0,571603.0,1683030.0,3775892.0,,
3º Trim 1997,,,,,,,C2.1,,,255849.0,37630.0,934990.0,47387.0,246182.0,581901.0,1731664.0,3835603.0,,
4º Trim 1997,,,,,,,C2.1,,,260015.0,37678.0,948585.0,47626.0,256015.0,599984.0,1803090.0,3952993.0,,
1º Trim 1998,,,,,,,C2.1,,,280992.0,38583.0,954011.0,47983.0,260297.0,612061.0,1862393.0,4056320.0,,
2º Trim 1998,,,,,,,C2.1,,,267630.0,39071.0,956073.0,47999.0,261152.0,617944.0,1878731.0,4068600.0,,
3º Trim 1998,,,,,,,C2.1,,,261521.0,38891.0,949006.0,49013.0,268986.0,621745.0,1903918.0,4093080.0,,
4º Trim 1998,,,,,,,C2.1,,,262676.0,37144.0,943114.0,48348.0,275414.0,628976.0,1923039.0,4118711.0,,
1º Trim 1999,,,,,,,C2.1,,,278661.0,35422.0,929183.0,48240.0,274926.0,628543.0,1909559.0,4104534.0,,
2º Trim 1999,,,,,,,C2.1,,,263926.0,34764.0,907128.0,48213.0,272491.0,622727.0,1902911.0,4052160.0,,
3º Trim 1999,,,,,,,C2.1,,,253656.0,35002.0,887976.0,49240.0,267604.0,616282.0,1902045.0,4011805.0,,
