Categoría,Período,Valor,Fuente,Codigo,DescripcionCompleta
Total general,2º Trim 1998,4068600.0,C3,,
A,3º Trim 1998,251940.0,C3,,
B,3º Trim 1998,9581.0,C3,,
C,3º Trim 1998,38891.0,C3,,
D,3º Trim 1998,949006.0,C3,,
E,3º Trim 1998,49013.0,C3,,
F,3º Trim 1998,268986.0,C3,,
G,3º Trim 1998,621745.0,C3,,
H,3º Trim 1998,119615.0,C3,,
I,3º Trim 1998,355175.0,C3,,
J,3º Trim 1998,141742.0,C3,,
K,3º Trim 1998,579055.0,C3,,
M,3º Trim 1998,263883.0,C3,,
N,3º Trim 1998,181583.0,C3,,
O,3º Trim 1998,262865.0,C3,,
Total general,3º Trim 1998,4093080.0,C3,,
A,4º Trim 1998,253843.0,C3,,
B,4º Trim 1998,8833.0,C3,,
C,4º Trim 1998,37144.0,C3,,
D,4º Trim 1998,943114.0,C3,,
E,4º Trim 1998,48348.0,C3,,
F,4º Trim 1998,275414.0,C3,,
G,4º Trim 1998,628976.0,C3,,
H,4º Trim 1998,122576.0,C3,,
I,4º Trim 1998,359269.0,C3,,
J,4º Trim 1998,141839.0,C3,,
K,4º Trim 1998,587138.0,C3,,
M,4º Trim 1998,265466.0,C3,,
N,4º Trim 1998,182545.0,C3,,
O,4º Trim 1998,264206.0,C3,,
Total general,4º Trim 1998,4118711.0,C3,,
A,1º Trim 1999,269245.0,C3,,
B,1º Trim 1999,9416.0,C3,,
C,1º Trim 1999,35422.0,C3,,
D,1º Trim 1999,929183.0,C3,,
E,1º Trim 1999,48240.0,C3,,
F,1º Trim 1999,274926.0,C3,,
G,1º Trim 1999,628543.0,C3,,
H,1º Trim 1999,124097.0,C3,,
I,1º Trim 1999,358907.0,C3,,
J,1º Trim 1999,144272.0,C3,,
K,1º Trim 1999,584125.0,C3,,
M,1º Trim 1999,255441.0,C3,,
N,1º Trim 1999,180189.0,C3,,
O,1º Trim 1999,262528.0,C3,,
Total general,1º Trim 1999,4104534.0,C3,,
A,2º Trim 1999,254411.0,C3,,
B,2º Trim 1999,9515.0,C3,,
C,2º Trim 1999,34764.0,C3,,
D,2º Trim 1999,907128.0,C3,,
E,2º Trim 1999,48213.0,C3,,
F,2º Trim 1999,272491.0,C3,,
G,2º Trim 1999,622727.0,C3,,
H,2º Trim 1999,117043.0,C3,,
I,2º Trim 1999,357987.0,C3,,
J,2º Trim 1999,144607.0,C3,,
K,2º Trim 1999,577740.0,C3,,
M,2º Trim 1999,271009.0,C3,,
N,2º Trim 1999,177702.0,C3,,
O,2º Trim 1999,256823.0,C3,,
Total general,2º Trim 1999,4052160.0,C3,,
A,3º Trim 1999,244971.0,C3,,
B,3º Trim 1999,8685.0,C3,,
C,3º Trim 1999,35002.0,C3,,
D,3º Trim 1999,887976.0,C3,,
E,3º Trim 1999,49240.0,C3,,
F,3º Trim 1999,267604.0,C3,,
G,3º Trim 1999,616282.0,C3,,
H,3º Trim 1999,119469.0,C3,,
I,3º Trim 1999,356866.0,C3,,
J,3º Trim 1999,143275.0,C3,,
K,3º Trim 1999,578536.0,C3,,
M,3º Trim 1999,272169.0,C3,,
N,3º Trim 1999,177753.0,C3,,
O,3º Trim 1999,253977.0,C3,,
Total general,3º Trim 1999,4011805.0,C3,,
A,4º Trim 1999,245422.0,C3,,
B,4º Trim 1999,8506.0,C3,,
C,4º Trim 1999,35754.0,C3,,
D,4º Trim 1999,882374.0,C3,,
E,4º Trim 1999,49200.0,C3,,
F,4º Trim 1999,260113.0,C3,,
G,4º Trim 1999,620054.0,C3,,
H,4º Trim 1999,120818.0,C3,,
I,4º Trim 1999,363607.0,C3,,
J,4º Trim 1999,142609.0,C3,,
K,4º Trim 1999,588725.0,C3,,
M,4º Trim 1999,274689.0,C3,,
N,4º Trim 1999,176931.0,C3,,
O,4º Trim 1999,256197.0,C3,,
Total general,4º Trim 1999,4024999.0,C3,,
A,1º Trim 2000,258906.0,C3,,
B,1º Trim 2000,9010.0,C3,,
C,1º Trim 2000,36584.0,C3,,
D,1º Trim 2000,876787.0,C3,,
E,1º Trim 2000,48749.0,C3,,
F,1º Trim 2000,244685.0,C3,,
G,1º Trim 2000,625346.0,C3,,
H,1º Trim 2000,125383.0,C3,,
I,1º Trim 2000,361004.0,C3,,
J,1º Trim 2000,140927.0,C3,,
K,1º Trim 2000,598118.0,C3,,
M,1º Trim 2000,264046.0,C3,,
N,1º Trim 2000,177626.0,C3,,
O,1º Trim 2000,259702.0,C3,,
Total general,1º Trim 2000,4026873.0,C3,,
A,2º Trim 2000,249496.0,C3,,
B,2º Trim 2000,8690.0,C3,,
C,2º Trim 2000,36922.0,C3,,
D,2º Trim 2000,858663.0,C3,,
E,2º Trim 2000,48886.0,C3,,
F,2º Trim 2000,226359.0,C3,,
G,2º Trim 2000,619489.0,C3,,
H,2º Trim 2000,119746.0,C3,,
I,2º Trim 2000,358665.0,C3,,
J,2º Trim 2000,140297.0,C3,,
K,2º Trim 2000,589650.0,C3,,
M,2º Trim 2000,280630.0,C3,,
N,2º Trim 2000,176525.0,C3,,
O,2º Trim 2000,254392.0,C3,,
Total general,2º Trim 2000,3968410.0,C3,,
A,3º Trim 2000,245513.0,C3,,
B,3º Trim 2000,8643.0,C3,,
C,3º Trim 2000,36911.0,C3,,
D,3º Trim 2000,850289.0,C3,,
E,3º Trim 2000,48376.0,C3,,
F,3º Trim 2000,223959.0,C3,,
G,3º Trim 2000,623845.0,C3,,
H,3º Trim 2000,122248.0,C3,,
I,3º Trim 2000,361306.0,C3,,
J,3º Trim 2000,142045.0,C3,,
K,3º Trim 2000,590554.0,C3,,
M,3º Trim 2000,282503.0,C3,,
N,3º Trim 2000,179125.0,C3,,
O,3º Trim 2000,255181.0,C3,,
Total general,3º Trim 2000,3970498.0,C3,,
A,4º Trim 2000,245175.0,C3,,
B,4º Trim 2000,9003.0,C3,,
C,4º Trim 2000,36694.0,C3,,
D,4º Trim 2000,848137.0,C3,,
E,4º Trim 2000,48906.0,C3,,
F,4º Trim 2000,230559.0,C3,,
G,4º Trim 2000,636292.0,C3,,
H,4º Trim 2000,125031.0,C3,,
I,4º Trim 2000,359418.0,C3,,
J,4º Trim 2000,142859.0,C3,,
K,4º Trim 2000,605500.0,C3,,
M,4º Trim 2000,286156.0,C3,,
N,4º Trim 2000,183066.0,C3,,
O,4º Trim 2000,259829.0,C3,,
Total general,4º Trim 2000,4016625.0,C3,,
A,1º Trim 2001,259454.0,C3,,
B,1º Trim 2001,9980.0,C3,,
C,1º Trim 2001,37775.0,C3,,
D,1º Trim 2001,845279.0,C3,,
E,1º Trim 2001,48923.0,C3,,
F,1º Trim 2001,227518.0,C3,,
G,1º Trim 2001,643317.0,C3,,
H,1º Trim 2001,127374.0,C3,,
I,1º Trim 2001,360545.0,C3,,
J,1º Trim 2001,139544.0,C3,,
K,1º Trim 2001,614084.0,C3,,
M,1º Trim 2001,275791.0,C3,,
N,1º Trim 2001,182563.0,C3,,
O,1º Trim 2001,264139.0,C3,,
Total general,1º Trim 2001,4036286.0,C3,,
A,2º Trim 2001,253582.0,C3,,
B,2º Trim 2001,10566.0,C3,,
C,2º Trim 2001,38308.0,C3,,
