Categoría,Período,Valor,Fuente,Codigo,DescripcionCompleta
98,1º Trim 2001,36830,C6,,
99,1º Trim 2001,90544,C6,,
0,2º Trim 2001,141508,C6,,
1,2º Trim 2001,79171,C6,,
2,2º Trim 2001,22917,C6,,
3,2º Trim 2001,31,C6,,
4,2º Trim 2001,9955,C6,,
5,2º Trim 2001,10566,C6,,
6,2º Trim 2001,8327,C6,,
7,2º Trim 2001,20110,C6,,
10,2º Trim 2001,3733,C6,,
11,2º Trim 2001,3093,C6,,
12,2º Trim 2001,81579,C6,,
13,2º Trim 2001,25742,C6,,
14,2º Trim 2001,11563,C6,,
15,2º Trim 2001,90301,C6,,
16,2º Trim 2001,42856,C6,,
17,2º Trim 2001,4498,C6,,
18,2º Trim 2001,23871,C6,,
19,2º Trim 2001,13441,C6,,
20,2º Trim 2001,6979,C6,,
21,2º Trim 2001,30610,C6,,
22,2º Trim 2001,210,C6,,
23,2º Trim 2001,12678,C6,,
24,2º Trim 2001,19946,C6,,
25,2º Trim 2001,8624,C6,,
26,2º Trim 2001,12564,C6,,
27,2º Trim 2001,24504,C6,,
28,2º Trim 2001,22433,C6,,
29,2º Trim 2001,22097,C6,,
30,2º Trim 2001,102,C6,,
32,2º Trim 2001,9067,C6,,
34,2º Trim 2001,12270,C6,,
35,2º Trim 2001,55822,C6,,
36,2º Trim 2001,656,C6,,
37,2º Trim 2001,8228,C6,,
38,2º Trim 2001,33493,C6,,
39,2º Trim 2001,4762,C6,,
40,2º Trim 2001,24769,C6,,
41,2º Trim 2001,21131,C6,,
42,2º Trim 2001,3329,C6,,
43,2º Trim 2001,5905,C6,,
44,2º Trim 2001,14917,C6,,
45,2º Trim 2001,39223,C6,,
46,2º Trim 2001,10723,C6,,
47,2º Trim 2001,18633,C6,,
48,2º Trim 2001,9322,C6,,
49,2º Trim 2001,1382,C6,,
50,2º Trim 2001,3146,C6,,
51,2º Trim 2001,2167,C6,,
52,2º Trim 2001,2224,C6,,
53,2º Trim 2001,904,C6,,
54,2º Trim 2001,1678,C6,,
55,2º Trim 2001,3282,C6,,
56,2º Trim 2001,426,C6,,
57,2º Trim 2001,1426,C6,,
58,2º Trim 2001,2675,C6,,
59,2º Trim 2001,3915,C6,,
60,2º Trim 2001,1253,C6,,
61,2º Trim 2001,206,C6,,
62,2º Trim 2001,16220,C6,,
63,2º Trim 2001,3636,C6,,
64,2º Trim 2001,25329,C6,,
65,2º Trim 2001,1728,C6,,
66,2º Trim 2001,1224,C6,,
67,2º Trim 2001,1116,C6,,
68,2º Trim 2001,1834,C6,,
69,2º Trim 2001,15570,C6,,
70,2º Trim 2001,9819,C6,,
71,2º Trim 2001,630,C6,,
72,2º Trim 2001,495,C6,,
73,2º Trim 2001,32426,C6,,
76,2º Trim 2001,11093,C6,,
77,2º Trim 2001,5590,C6,,
78,2º Trim 2001,185097,C6,,
79,2º Trim 2001,21267,C6,,
80,2º Trim 2001,4598,C6,,
81,2º Trim 2001,979,C6,,
82,2º Trim 2001,18571,C6,,
83,2º Trim 2001,15891,C6,,
84,2º Trim 2001,18219,C6,,
85,2º Trim 2001,42613,C6,,
86,2º Trim 2001,33694,C6,,
87,2º Trim 2001,47501,C6,,
88,2º Trim 2001,60104,C6,,
89,2º Trim 2001,29444,C6,,
90,2º Trim 2001,23368,C6,,
91,2º Trim 2001,15095,C6,,
92,2º Trim 2001,130899,C6,,
93,2º Trim 2001,28115,C6,,
94,2º Trim 2001,157447,C6,,
95,2º Trim 2001,476,C6,,
96,2º Trim 2001,5302,C6,,
97,2º Trim 2001,8968,C6,,
98,2º Trim 2001,33893,C6,,
99,2º Trim 2001,87813,C6,,
0,3º Trim 2001,127382,C6,,
1,3º Trim 2001,78038,C6,,
2,3º Trim 2001,23708,C6,,
3,3º Trim 2001,35,C6,,
4,3º Trim 2001,9460,C6,,
5,3º Trim 2001,10144,C6,,
6,3º Trim 2001,8404,C6,,
7,3º Trim 2001,19375,C6,,
10,3º Trim 2001,3628,C6,,
11,3º Trim 2001,2942,C6,,
12,3º Trim 2001,77058,C6,,
13,3º Trim 2001,25518,C6,,
14,3º Trim 2001,11067,C6,,
15,3º Trim 2001,92074,C6,,
16,3º Trim 2001,41079,C6,,
17,3º Trim 2001,3356,C6,,
18,3º Trim 2001,23015,C6,,
19,3º Trim 2001,13274,C6,,
20,3º Trim 2001,6867,C6,,
21,3º Trim 2001,29825,C6,,
22,3º Trim 2001,189,C6,,
23,3º Trim 2001,12072,C6,,
24,3º Trim 2001,19206,C6,,
25,3º Trim 2001,8299,C6,,
26,3º Trim 2001,12135,C6,,
27,3º Trim 2001,24145,C6,,
28,3º Trim 2001,21573,C6,,
29,3º Trim 2001,21822,C6,,
30,3º Trim 2001,98,C6,,
32,3º Trim 2001,9206,C6,,
34,3º Trim 2001,11766,C6,,
35,3º Trim 2001,55507,C6,,
36,3º Trim 2001,505,C6,,
37,3º Trim 2001,8039,C6,,
38,3º Trim 2001,32593,C6,,
39,3º Trim 2001,4669,C6,,
40,3º Trim 2001,23525,C6,,
41,3º Trim 2001,20456,C6,,
42,3º Trim 2001,3326,C6,,
43,3º Trim 2001,5741,C6,,
44,3º Trim 2001,14025,C6,,
45,3º Trim 2001,37737,C6,,
46,3º Trim 2001,10649,C6,,
47,3º Trim 2001,18379,C6,,
48,3º Trim 2001,8822,C6,,
49,3º Trim 2001,1302,C6,,
50,3º Trim 2001,3237,C6,,
51,3º Trim 2001,1961,C6,,
52,3º Trim 2001,2110,C6,,
53,3º Trim 2001,896,C6,,
54,3º Trim 2001,1666,C6,,
55,3º Trim 2001,3239,C6,,
56,3º Trim 2001,428,C6,,
57,3º Trim 2001,1402,C6,,
58,3º Trim 2001,2963,C6,,
59,3º Trim 2001,3908,C6,,
60,3º Trim 2001,1207,C6,,
61,3º Trim 2001,178,C6,,
62,3º Trim 2001,15775,C6,,
63,3º Trim 2001,3406,C6,,
64,3º Trim 2001,24504,C6,,
65,3º Trim 2001,1528,C6,,
66,3º Trim 2001,1195,C6,,
67,3º Trim 2001,1142,C6,,
68,3º Trim 2001,1811,C6,,
69,3º Trim 2001,14887,C6,,
70,3º Trim 2001,9513,C6,,
71,3º Trim 2001,632,C6,,
72,3º Trim 2001,469,C6,,
73,3º Trim 2001,32550,C6,,
76,3º Trim 2001,11229,C6,,
77,3º Trim 2001,5041,C6,,
78,3º Trim 2001,169832,C6,,
79,3º Trim 2001,19777,C6,,
80,3º Trim 2001,4209,C6,,
81,3º Trim 2001,827,C6,,
82,3º Trim 2001,17918,C6,,
83,3º Trim 2001,15816,C6,,
84,3º Trim 2001,17982,C6,,
85,3º Trim 2001,41746,C6,,
86,3º Trim 2001,31678,C6,,
87,3º Trim 2001,45172,C6,,
88,3º Trim 2001,58612,C6,,
89,3º Trim 2001,28509,C6,,
90,3º Trim 2001,23027,C6,,
91,3º Trim 2001,14780,C6,,
92,3º Trim 2001,130978,C6,,
93,3º Trim 2001,27674,C6,,
94,3º Trim 2001,155187,C6,,
95,3º Trim 2001,458,C6,,
96,3º Trim 2001,5381,C6,,
97,3º Trim 2001,8736,C6,,
98,3º Trim 2001,33705,C6,,
99,3º Trim 2001,86603,C6,,
0,4º Trim 2001,128548,C6,,
1,4º Trim 2001,77136,C6,,
2,4º Trim 2001,15388,C6,,
3,4º Trim 2001,43,C6,,
4,4º Trim 2001,8603,C6,,
5,4º Trim 2001,10275,C6,,
6,4º Trim 2001,8566,C6,,
7,4º Trim 2001,18863,C6,,
10,4º Trim 2001,3532,C6,,
11,4º Trim 2001,2887,C6,,
12,4º Trim 2001,75903,C6,,
13,4º Trim 2001,26369,C6,,
14,4º Trim 2001,10847,C6,,
15,4º Trim 2001,86675,C6,,
16,4º Trim 2001,42914,C6,,
17,4º Trim 2001,2896,C6,,
18,4º Trim 2001,21384,C6,,
19,4º Trim 2001,12654,C6,,
20,4º Trim 2001,6572,C6,,
21,4º Trim 2001,28093,C6,,
22,4º Trim 2001,184,C6,,
23,4º Trim 2001,11436,C6,,
24,4º Trim 2001,17163,C6,,
25,4º Trim 2001,7805,C6,,
26,4º Trim 2001,11487,C6,,
27,4º Trim 2001,24084,C6,,
28,4º Trim 2001,20627,C6,,
29,4º Trim 2001,21370,C6,,
30,4º Trim 2001,91,C6,,
32,4º Trim 2001,9225,C6,,
34,4º Trim 2001,11551,C6,,
35,4º Trim 2001,55282,C6,,
36,4º Trim 2001,475,C6,,
37,4º Trim 2001,7711,C6,,
38,4º Trim 2001,31793,C6,,
39,4º Trim 2001,4451,C6,,
40,4º Trim 2001,22124,C6,,
41,4º Trim 2001,19931,C6,,
42,4º Trim 2001,3179,C6,,
43,4º Trim 2001,5449,C6,,
44,4º Trim 2001,13063,C6,,
45,4º Trim 2001,36285,C6,,
46,4º Trim 2001,10210,C6,,
47,4º Trim 2001,17815,C6,,
48,4º Trim 2001,8420,C6,,
49,4º Trim 2001,1218,C6,,
50,4º Trim 2001,3167,C6,,
51,4º Trim 2001,1835,C6,,
52,4º Trim 2001,1955,C6,,
53,4º Trim 2001,867,C6,,
54,4º Trim 2001,1620,C6,,
55,4º Trim 2001,3003,C6,,
56,4º Trim 2001,421,C6,,
57,4º Trim 2001,1261,C6,,
58,4º Trim 2001,2797,C6,,
59,4º Trim 2001,3920,C6,,
60,4º Trim 2001,1190,C6,,
61,4º Trim 2001,154,C6,,
62,4º Trim 2001,15503,C6,,
63,4º Trim 2001,3189,C6,,
64,4º Trim 2001,23193,C6,,
65,4º Trim 2001,1438,C6,,
66,4º Trim 2001,1268,C6,,
67,4º Trim 2001,1149,C6,,
68,4º Trim 2001,1820,C6,,
69,4º Trim 2001,13960,C6,,
70,4º Trim 2001,9276,C6,,
71,4º Trim 2001,616,C6,,
72,4º Trim 2001,472,C6,,
73,4º Trim 2001,32257,C6,,
76,4º Trim 2001,11159,C6,,
77,4º Trim 2001,4861,C6,,
78,4º Trim 2001,152120,C6,,
79,4º Trim 2001,18125,C6,,
80,4º Trim 2001,3741,C6,,
81,4º Trim 2001,762,C6,,
82,4º Trim 2001,16687,C6,,
83,4º Trim 2001,15135,C6,,
84,4º Trim 2001,17487,C6,,
85,4º Trim 2001,41468,C6,,
86,4º Trim 2001,32304,C6,,
87,4º Trim 2001,45110,C6,,
88,4º Trim 2001,56756,C6,,
89,4º Trim 2001,27334,C6,,
90,4º Trim 2001,22540,C6,,
91,4º Trim 2001,14367,C6,,
92,4º Trim 2001,130663,C6,,
93,4º Trim 2001,27248,C6,,
94,4º Trim 2001,150120,C6,,
95,4º Trim 2001,450,C6,,
96,4º Trim 2001,4798,C6,,
97,4º Trim 2001,8145,C6,,
98,4º Trim 2001,32674,C6,,
99,4º Trim 2001,85225,C6,,
0,1º Trim 2002,139109,C6,,
1,1º Trim 2002,75270,C6,,
2,1º Trim 2002,14896,C6,,
3,1º Trim 2002,45,C6,,
4,1º Trim 2002,7593,C6,,
5,1º Trim 2002,11363,C6,,
6,1º Trim 2002,8461,C6,,
7,1º Trim 2002,18386,C6,,
10,1º Trim 2002,3327,C6,,
11,1º Trim 2002,2754,C6,,
12,1º Trim 2002,79666,C6,,
13,1º Trim 2002,25656,C6,,
14,1º Trim 2002,10421,C6,,
15,1º Trim 2002,76444,C6,,
16,1º Trim 2002,44540,C6,,
17,1º Trim 2002,4450,C6,,
18,1º Trim 2002,20136,C6,,
19,1º Trim 2002,11627,C6,,
20,1º Trim 2002,6231,C6,,
21,1º Trim 2002,24828,C6,,
22,1º Trim 2002,163,C6,,
23,1º Trim 2002,11531,C6,,
24,1º Trim 2002,15909,C6,,
25,1º Trim 2002,7131,C6,,
26,1º Trim 2002,10588,C6,,
27,1º Trim 2002,23504,C6,,
28,1º Trim 2002,19576,C6,,
29,1º Trim 2002,20234,C6,,
30,1º Trim 2002,93,C6,,
32,1º Trim 2002,9221,C6,,
34,1º Trim 2002,11093,C6,,
35,1º Trim 2002,53114,C6,,
36,1º Trim 2002,460,C6,,
37,1º Trim 2002,7475,C6,,
38,1º Trim 2002,29838,C6,,
39,1º Trim 2002,4240,C6,,
40,1º Trim 2002,20129,C6,,
41,1º Trim 2002,19379,C6,,
42,1º Trim 2002,3035,C6,,
43,1º Trim 2002,5096,C6,,
44,1º Trim 2002,11671,C6,,
45,1º Trim 2002,34906,C6,,
46,1º Trim 2002,9729,C6,,
47,1º Trim 2002,16505,C6,,
48,1º Trim 2002,7922,C6,,
49,1º Trim 2002,1047,C6,,
50,1º Trim 2002,2982,C6,,
51,1º Trim 2002,1653,C6,,
52,1º Trim 2002,1790,C6,,
53,1º Trim 2002,862,C6,,
54,1º Trim 2002,1544,C6,,
55,1º Trim 2002,2690,C6,,
56,1º Trim 2002,408,C6,,
57,1º Trim 2002,1142,C6,,
58,1º Trim 2002,2212,C6,,
59,1º Trim 2002,3790,C6,,
60,1º Trim 2002,1092,C6,,
61,1º Trim 2002,149,C6,,
62,1º Trim 2002,14095,C6,,
63,1º Trim 2002,2885,C6,,
64,1º Trim 2002,22174,C6,,
65,1º Trim 2002,1397,C6,,
66,1º Trim 2002,1073,C6,,
67,1º Trim 2002,1130,C6,,
68,1º Trim 2002,1625,C6,,
69,1º Trim 2002,12490,C6,,
70,1º Trim 2002,8467,C6,,
71,1º Trim 2002,578,C6,,
72,1º Trim 2002,476,C6,,
73,1º Trim 2002,31566,C6,,
76,1º Trim 2002,11118,C6,,
77,1º Trim 2002,4109,C6,,
78,1º Trim 2002,115074,C6,,
79,1º Trim 2002,15056,C6,,
80,1º Trim 2002,2937,C6,,
81,1º Trim 2002,659,C6,,
82,1º Trim 2002,14918,C6,,
83,1º Trim 2002,14190,C6,,
84,1º Trim 2002,16815,C6,,
85,1º Trim 2002,40697,C6,,
86,1º Trim 2002,31171,C6,,
87,1º Trim 2002,45017,C6,,
88,1º Trim 2002,53816,C6,,
89,1º Trim 2002,25928,C6,,
90,1º Trim 2002,20421,C6,,
91,1º Trim 2002,13521,C6,,
92,1º Trim 2002,127271,C6,,
93,1º Trim 2002,26300,C6,,
94,1º Trim 2002,141241,C6,,
95,1º Trim 2002,409,C6,,
96,1º Trim 2002,4049,C6,,
97,1º Trim 2002,7544,C6,,
98,1º Trim 2002,32948,C6,,
99,1º Trim 2002,79611,C6,,
0,2º Trim 2002,126619,C6,,
1,2º Trim 2002,74912,C6,,
2,2º Trim 2002,22406,C6,,
3,2º Trim 2002,41,C6,,
4,2º Trim 2002,7588,C6,,
5,2º Trim 2002,12716,C6,,
6,2º Trim 2002,8424,C6,,
7,2º Trim 2002,18045,C6,,
10,2º Trim 2002,3161,C6,,
11,2º Trim 2002,2651,C6,,
12,2º Trim 2002,79856,C6,,
13,2º Trim 2002,24764,C6,,
14,2º Trim 2002,10400,C6,,
15,2º Trim 2002,78942,C6,,
16,2º Trim 2002,42416,C6,,
17,2º Trim 2002,5014,C6,,
18,2º Trim 2002,20617,C6,,
19,2º Trim 2002,11266,C6,,
20,2º Trim 2002,5887,C6,,
21,2º Trim 2002,23735,C6,,
22,2º Trim 2002,160,C6,,
23,2º Trim 2002,11912,C6,,
24,2º Trim 2002,15749,C6,,
25,2º Trim 2002,7236,C6,,
26,2º Trim 2002,10064,C6,,
27,2º Trim 2002,23377,C6,,
28,2º Trim 2002,18393,C6,,
29,2º Trim 2002,19361,C6,,
30,2º Trim 2002,85,C6,,
32,2º Trim 2002,9242,C6,,
34,2º Trim 2002,10972,C6,,
35,2º Trim 2002,52178,C6,,
36,2º Trim 2002,453,C6,,
37,2º Trim 2002,7514,C6,,
38,2º Trim 2002,29013,C6,,
39,2º Trim 2002,4233,C6,,
40,2º Trim 2002,19209,C6,,
41,2º Trim 2002,19074,C6,,
42,2º Trim 2002,2998,C6,,
43,2º Trim 2002,5019,C6,,
44,2º Trim 2002,10681,C6,,
45,2º Trim 2002,33635,C6,,
46,2º Trim 2002,9859,C6,,
47,2º Trim 2002,16100,C6,,
48,2º Trim 2002,7316,C6,,
49,2º Trim 2002,966,C6,,
50,2º Trim 2002,2845,C6,,
51,2º Trim 2002,1553,C6,,
52,2º Trim 2002,1671,C6,,
53,2º Trim 2002,870,C6,,
54,2º Trim 2002,1429,C6,,
55,2º Trim 2002,2420,C6,,
56,2º Trim 2002,392,C6,,
57,2º Trim 2002,1082,C6,,
58,2º Trim 2002,1957,C6,,
59,2º Trim 2002,3656,C6,,
60,2º Trim 2002,1068,C6,,
61,2º Trim 2002,130,C6,,
62,2º Trim 2002,13254,C6,,
63,2º Trim 2002,2673,C6,,
64,2º Trim 2002,21634,C6,,
65,2º Trim 2002,1407,C6,,
66,2º Trim 2002,1212,C6,,
67,2º Trim 2002,1128,C6,,
68,2º Trim 2002,1492,C6,,
69,2º Trim 2002,11611,C6,,
70,2º Trim 2002,8156,C6,,
71,2º Trim 2002,572,C6,,
72,2º Trim 2002,491,C6,,
73,2º Trim 2002,31161,C6,,
76,2º Trim 2002,9868,C6,,
77,2º Trim 2002,3824,C6,,
78,2º Trim 2002,97705,C6,,
79,2º Trim 2002,13426,C6,,
80,2º Trim 2002,2561,C6,,
81,2º Trim 2002,585,C6,,
82,2º Trim 2002,14152,C6,,
83,2º Trim 2002,13648,C6,,
84,2º Trim 2002,16316,C6,,
85,2º Trim 2002,39654,C6,,
86,2º Trim 2002,34066,C6,,
87,2º Trim 2002,43611,C6,,
88,2º Trim 2002,51559,C6,,
89,2º Trim 2002,25179,C6,,
90,2º Trim 2002,19054,C6,,
91,2º Trim 2002,12851,C6,,
92,2º Trim 2002,123408,C6,,
93,2º Trim 2002,25019,C6,,
94,2º Trim 2002,133734,C6,,
95,2º Trim 2002,403,C6,,
96,2º Trim 2002,3748,C6,,
97,2º Trim 2002,7361,C6,,
98,2º Trim 2002,30328,C6,,
99,2º Trim 2002,77359,C6,,
0,3º Trim 2002,121317,C6,,
1,3º Trim 2002,75087,C6,,
2,3º Trim 2002,22284,C6,,
3,3º Trim 2002,50,C6,,
4,3º Trim 2002,7862,C6,,
5,3º Trim 2002,12453,C6,,
6,3º Trim 2002,8466,C6,,
7,3º Trim 2002,18029,C6,,
10,3º Trim 2002,3077,C6,,
11,3º Trim 2002,2493,C6,,
12,3º Trim 2002,77564,C6,,
13,3º Trim 2002,24329,C6,,
14,3º Trim 2002,10397,C6,,
15,3º Trim 2002,82503,C6,,
16,3º Trim 2002,40463,C6,,
17,3º Trim 2002,4231,C6,,
18,3º Trim 2002,20715,C6,,
19,3º Trim 2002,11340,C6,,
20,3º Trim 2002,5921,C6,,
21,3º Trim 2002,23565,C6,,
22,3º Trim 2002,167,C6,,
23,3º Trim 2002,12219,C6,,
24,3º Trim 2002,15801,C6,,
25,3º Trim 2002,7368,C6,,
26,3º Trim 2002,10222,C6,,
27,3º Trim 2002,23549,C6,,
28,3º Trim 2002,17600,C6,,
29,3º Trim 2002,18832,C6,,
30,3º Trim 2002,87,C6,,
32,3º Trim 2002,9351,C6,,
34,3º Trim 2002,10930,C6,,
35,3º Trim 2002,52075,C6,,
36,3º Trim 2002,465,C6,,
37,3º Trim 2002,7592,C6,,
38,3º Trim 2002,28833,C6,,
39,3º Trim 2002,4306,C6,,
40,3º Trim 2002,19113,C6,,
41,3º Trim 2002,19036,C6,,
42,3º Trim 2002,2927,C6,,
43,3º Trim 2002,5141,C6,,
44,3º Trim 2002,10610,C6,,
45,3º Trim 2002,32661,C6,,
46,3º Trim 2002,9795,C6,,
47,3º Trim 2002,16512,C6,,
48,3º Trim 2002,7005,C6,,
49,3º Trim 2002,947,C6,,
50,3º Trim 2002,2748,C6,,
51,3º Trim 2002,1540,C6,,
52,3º Trim 2002,1610,C6,,
53,3º Trim 2002,912,C6,,
54,3º Trim 2002,1343,C6,,
55,3º Trim 2002,2284,C6,,
56,3º Trim 2002,377,C6,,
57,3º Trim 2002,961,C6,,
58,3º Trim 2002,1746,C6,,
59,3º Trim 2002,3641,C6,,
60,3º Trim 2002,1062,C6,,
61,3º Trim 2002,113,C6,,
62,3º Trim 2002,12623,C6,,
63,3º Trim 2002,2523,C6,,
64,3º Trim 2002,21786,C6,,
65,3º Trim 2002,1483,C6,,
66,3º Trim 2002,1251,C6,,
67,3º Trim 2002,1074,C6,,
68,3º Trim 2002,1335,C6,,
69,3º Trim 2002,11337,C6,,
70,3º Trim 2002,7986,C6,,
71,3º Trim 2002,599,C6,,
72,3º Trim 2002,492,C6,,
73,3º Trim 2002,31105,C6,,
76,3º Trim 2002,9826,C6,,
77,3º Trim 2002,3815,C6,,
78,3º Trim 2002,93857,C6,,
79,3º Trim 2002,13509,C6,,
80,3º Trim 2002,2667,C6,,
81,3º Trim 2002,592,C6,,
82,3º Trim 2002,13624,C6,,
83,3º Trim 2002,13357,C6,,
84,3º Trim 2002,16363,C6,,
85,3º Trim 2002,39343,C6,,
86,3º Trim 2002,32305,C6,,
87,3º Trim 2002,42203,C6,,
88,3º Trim 2002,50370,C6,,
89,3º Trim 2002,25092,C6,,
90,3º Trim 2002,18261,C6,,
91,3º Trim 2002,12599,C6,,
92,3º Trim 2002,122605,C6,,
93,3º Trim 2002,25096,C6,,
94,3º Trim 2002,131408,C6,,
95,3º Trim 2002,424,C6,,
96,3º Trim 2002,3625,C6,,
97,3º Trim 2002,7279,C6,,
98,3º Trim 2002,31238,C6,,
99,3º Trim 2002,77640,C6,,
0,4º Trim 2002,127585,C6,,
1,4º Trim 2002,76803,C6,,
2,4º Trim 2002,14504,C6,,
3,4º Trim 2002,51,C6,,
4,4º Trim 2002,8046,C6,,
5,4º Trim 2002,12539,C6,,
6,4º Trim 2002,8516,C6,,
7,4º Trim 2002,18701,C6,,
10,4º Trim 2002,3126,C6,,
11,4º Trim 2002,2516,C6,,
12,4º Trim 2002,79888,C6,,
13,4º Trim 2002,25159,C6,,
14,4º Trim 2002,10690,C6,,
15,4º Trim 2002,79324,C6,,
16,4º Trim 2002,41346,C6,,
17,4º Trim 2002,3716,C6,,
18,4º Trim 2002,20988,C6,,
19,4º Trim 2002,11440,C6,,
20,4º Trim 2002,6211,C6,,
21,4º Trim 2002,23915,C6,,
22,4º Trim 2002,177,C6,,
23,4º Trim 2002,12263,C6,,
24,4º Trim 2002,16375,C6,,
25,4º Trim 2002,7593,C6,,
26,4º Trim 2002,10665,C6,,
27,4º Trim 2002,24058,C6,,
28,4º Trim 2002,17372,C6,,
29,4º Trim 2002,18627,C6,,
30,4º Trim 2002,88,C6,,
32,4º Trim 2002,9460,C6,,
34,4º Trim 2002,11142,C6,,
35,4º Trim 2002,52612,C6,,
36,4º Trim 2002,465,C6,,
37,4º Trim 2002,7797,C6,,
38,4º Trim 2002,29552,C6,,
39,4º Trim 2002,4337,C6,,
40,4º Trim 2002,19543,C6,,
41,4º Trim 2002,19187,C6,,
42,4º Trim 2002,2870,C6,,
43,4º Trim 2002,5262,C6,,
44,4º Trim 2002,11192,C6,,
45,4º Trim 2002,33792,C6,,
46,4º Trim 2002,10023,C6,,
47,4º Trim 2002,17568,C6,,
48,4º Trim 2002,7076,C6,,
49,4º Trim 2002,979,C6,,
50,4º Trim 2002,2729,C6,,
51,4º Trim 2002,1607,C6,,
52,4º Trim 2002,1603,C6,,
53,4º Trim 2002,905,C6,,
54,4º Trim 2002,1378,C6,,
55,4º Trim 2002,2350,C6,,
56,4º Trim 2002,386,C6,,
57,4º Trim 2002,937,C6,,
58,4º Trim 2002,1645,C6,,
59,4º Trim 2002,3707,C6,,
60,4º Trim 2002,1068,C6,,
61,4º Trim 2002,107,C6,,
62,4º Trim 2002,11979,C6,,
63,4º Trim 2002,2513,C6,,
64,4º Trim 2002,22205,C6,,
65,4º Trim 2002,1606,C6,,
66,4º Trim 2002,1289,C6,,
67,4º Trim 2002,1068,C6,,
68,4º Trim 2002,1280,C6,,
69,4º Trim 2002,11136,C6,,
70,4º Trim 2002,8139,C6,,
71,4º Trim 2002,620,C6,,
72,4º Trim 2002,526,C6,,
73,4º Trim 2002,31079,C6,,
76,4º Trim 2002,9896,C6,,
77,4º Trim 2002,4112,C6,,
78,4º Trim 2002,101796,C6,,
79,4º Trim 2002,14332,C6,,
80,4º Trim 2002,2849,C6,,
81,4º Trim 2002,637,C6,,
82,4º Trim 2002,13341,C6,,
83,4º Trim 2002,13379,C6,,
84,4º Trim 2002,16382,C6,,
85,4º Trim 2002,39608,C6,,
86,4º Trim 2002,33237,C6,,
87,4º Trim 2002,43257,C6,,
88,4º Trim 2002,50705,C6,,
89,4º Trim 2002,25425,C6,,
90,4º Trim 2002,18257,C6,,
91,4º Trim 2002,12764,C6,,
92,4º Trim 2002,122571,C6,,
93,4º Trim 2002,25523,C6,,
94,4º Trim 2002,132332,C6,,
95,4º Trim 2002,455,C6,,
96,4º Trim 2002,3503,C6,,
97,4º Trim 2002,6922,C6,,
98,4º Trim 2002,32173,C6,,
99,4º Trim 2002,79321,C6,,
0,1º Trim 2003,144156,C6,,
1,1º Trim 2003,77426,C6,,
2,1º Trim 2003,16576,C6,,
3,1º Trim 2003,52,C6,,
4,1º Trim 2003,8017,C6,,
5,1º Trim 2003,13607,C6,,
6,1º Trim 2003,8579,C6,,
7,1º Trim 2003,19606,C6,,
10,1º Trim 2003,3297,C6,,
11,1º Trim 2003,2587,C6,,
12,1º Trim 2003,87757,C6,,
13,1º Trim 2003,25915,C6,,
14,1º Trim 2003,10872,C6,,
15,1º Trim 2003,77331,C6,,
16,1º Trim 2003,43946,C6,,
17,1º Trim 2003,5213,C6,,
18,1º Trim 2003,22225,C6,,
19,1º Trim 2003,11739,C6,,
20,1º Trim 2003,6441,C6,,
21,1º Trim 2003,24723,C6,,
22,1º Trim 2003,172,C6,,
23,1º Trim 2003,12892,C6,,
24,1º Trim 2003,16965,C6,,
25,1º Trim 2003,8017,C6,,
26,1º Trim 2003,10936,C6,,
27,1º Trim 2003,24354,C6,,
28,1º Trim 2003,17162,C6,,
29,1º Trim 2003,18330,C6,,
30,1º Trim 2003,87,C6,,
32,1º Trim 2003,9498,C6,,
34,1º Trim 2003,11196,C6,,
35,1º Trim 2003,53251,C6,,
36,1º Trim 2003,467,C6,,
37,1º Trim 2003,8077,C6,,
38,1º Trim 2003,30426,C6,,
39,1º Trim 2003,4506,C6,,
40,1º Trim 2003,20242,C6,,
41,1º Trim 2003,19621,C6,,
42,1º Trim 2003,2872,C6,,
43,1º Trim 2003,5408,C6,,
44,1º Trim 2003,12171,C6,,
45,1º Trim 2003,35519,C6,,
46,1º Trim 2003,10449,C6,,
47,1º Trim 2003,18501,C6,,
48,1º Trim 2003,7050,C6,,
49,1º Trim 2003,1018,C6,,
50,1º Trim 2003,2782,C6,,
51,1º Trim 2003,1695,C6,,
52,1º Trim 2003,1634,C6,,
53,1º Trim 2003,987,C6,,
54,1º Trim 2003,1400,C6,,
55,1º Trim 2003,2340,C6,,
56,1º Trim 2003,405,C6,,
57,1º Trim 2003,929,C6,,
58,1º Trim 2003,1619,C6,,
59,1º Trim 2003,3717,C6,,
60,1º Trim 2003,1067,C6,,
61,1º Trim 2003,108,C6,,
62,1º Trim 2003,11494,C6,,
63,1º Trim 2003,2556,C6,,
64,1º Trim 2003,22606,C6,,
65,1º Trim 2003,1844,C6,,
66,1º Trim 2003,1053,C6,,
67,1º Trim 2003,1063,C6,,
68,1º Trim 2003,1256,C6,,
69,1º Trim 2003,11455,C6,,
70,1º Trim 2003,8223,C6,,
71,1º Trim 2003,609,C6,,
72,1º Trim 2003,554,C6,,
73,1º Trim 2003,31145,C6,,
76,1º Trim 2003,9935,C6,,
77,1º Trim 2003,4365,C6,,
78,1º Trim 2003,113757,C6,,
79,1º Trim 2003,14846,C6,,
80,1º Trim 2003,3042,C6,,
81,1º Trim 2003,681,C6,,
82,1º Trim 2003,13373,C6,,
83,1º Trim 2003,13829,C6,,
84,1º Trim 2003,16853,C6,,
85,1º Trim 2003,40555,C6,,
