Código,Descripción,Nivel,Tabla
300,"Fabricación de maquinaria de oficina, contabilidad e informática",3 digitos,C6
311,"Fabricación de motores, generadores y transformadores eléctricos",3 digitos,C6
312,Fabricación de aparatos de distribución y control de la energía eléctrica,3 digitos,C6
313,Fabricación de hilos y cables aislados,3 digitos,C6
314,Fabricación de acumuladores y de pilas y baterías primarias,3 digitos,C6
315,Fabricación de lámparas eléctricas y equipo de iluminación,3 digitos,C6
319,Fabricación  de equipo eléctrico n.c.p.,3 digitos,C6
321,"Fabricación de tubos, válvulas  y otros  componentes electrónicos",3 digitos,C6
322,Fabricación  de  transmisores  de  radio  y  televisión  y  de  aparatos para telefonía y telegrafía con hilos,3 digitos,C6
323,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video",3 digitos,C6
331,Fabricación de aparatos e instrumentos médicos y de aparatos para medición,3 digitos,C6
332,Fabricación de instrumentos de óptica y equipo fotográfico,3 digitos,C6
333,Fabricación de relojes,3 digitos,C6
341,Fabricación de vehículos automotores,3 digitos,C6
342,Fabricación  de  carrocerías  para  vehículos  automotores;  fabricación de remolques y semirremolques,3 digitos,C6
343,Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores,3 digitos,C6
351,Construcción y reparación de buques y embarcaciones n.c.p.,3 digitos,C6
352,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías,3 digitos,C6
353,Fabricación y reparación de aeronaves,3 digitos,C6
359,Fabricación de equipo de transporte n.c.p.,3 digitos,C6
361,Fabricación de muebles y colchones,3 digitos,C6
369,Industrias manufactureras n.c.p.,3 digitos,C6
371,Reciclamiento de desperdicios y desechos metálicos,3 digitos,C6
372,Reciclamiento de desperdicios y desechos no metálicos,3 digitos,C6
401,"Generación, transporte y distribución de energía eléctrica",3 digitos,C6
402,Fabricación de gas y distribución de combustibles gaseosos por tuberías,3 digitos,C6
403,Suministro de vapor y agua caliente,3 digitos,C6
410,"Captación, depuración y distribución de agua",3 digitos,C6
451,Preparación de terrenos para obras,3 digitos,C6
452,Construcción de edificios y sus partes y obras de ingeniería civil,3 digitos,C6
453,Instalaciones para edificios y obras de ingeniería civil,3 digitos,C6
454,Terminación de edificios y obras de ingeniería civil,3 digitos,C6
455,Alquiler de equipo de construcción o demolición dotado de operarios,3 digitos,C6
501,"Venta de vehículos automotores, excepto motocicletas",3 digitos,C6
502,"Mantenimiento y reparación de vehículos automotores, excepto motocicletas",3 digitos,C6
503,"Venta de partes, piezas y accesorios de vehículos automotores",3 digitos,C6
505,Venta al por menor de combustible para vehículos automotores y motocicletas,3 digitos,C6
511,Venta al por mayor en comisión o consignación,3 digitos,C6
512,"Venta al por mayor de materias primas agropecuarias, de animales vivos, alimentos, bebidas y tabaco",3 digitos,C6
513,Venta al por mayor de artículos de uso doméstico y/o personal,3 digitos,C6
514,"Venta al por mayor de productos intermedios, desperdicios y desechos no agropecuarios",3 digitos,C6
515,"Venta al por mayor de máquinas, equipo y materiales conexos",3 digitos,C6
519,Venta al por mayor de mercancías n.c.p.,3 digitos,C6
521,Venta al por menor excepto la especializada,3 digitos,C6
522,"Venta al por menor de productos alimentarios, bebidas y tabaco en comercios especializados",3 digitos,C6
523,"Venta al por menor de productos n.c.p. excepto los usados, en comercios especializados",3 digitos,C6
524,Venta al por menor de artículos usados excluidos automotores y motocicletas,3 digitos,C6
525,Venta al por menor no realizada en establecimientos,3 digitos,C6
526,Reparación de efectos personales y enseres domésticos,3 digitos,C6
551,"Servicios de alojamiento en hoteles, campamentos y otros tipos de hospedaje temporal",3 digitos,C6
552,Servicios de expendio de comidas y bebidas,3 digitos,C6
601,Servicio de transporte ferroviario,3 digitos,C6
602,Servicio de transporte automotor,3 digitos,C6
603,Servicio de transporte por tuberías,3 digitos,C6
611,Servicio de transporte marítimo,3 digitos,C6
612,Servicio de transporte fluvial,3 digitos,C6
620,Servicio de transporte,3 digitos,C6
631,Servicios de manipulación de carga,3 digitos,C6
632,Servicios de almacenamiento y depósito,3 digitos,C6
633,Servicios complementarios para el transporte,3 digitos,C6
