Código,Descripción,Nivel,Tabla
5231,"Venta al por menor de productos farmacéuticos, cosméticos, de perfumería, instrumental médico y odontológico y artículos ortopédicos",4 digitos,C7
5232,"Venta al por menor de productos textiles, excepto prendas de vestir",4 digitos,C7
5233,"Venta al por menor de prendas y accesorios de vestir excepto calzado, artículos de marroquinería, paraguas y similares",4 digitos,C7
5234,"Venta al por menor de calzado excepto el ortopédico, artículos de marroquinería, paraguas y similares",4 digitos,C7
5235,"Venta al  por menor de muebles, artículos de mimbre y corcho, colchones y somieres, artículos de  iluminación y artefactos para el hogar",4 digitos,C7
5236,"Venta al por menor de materiales de construcción, artículos de ferretería, pinturas, cristales y espejos, y artículos para la decoración",4 digitos,C7
5237,"Venta al por menor de artículos de óptica, fotografía, relojería, joyería y fantasía",4 digitos,C7
5238,"Venta al por menor de libros, revistas, diarios, papel, cartón, materiales de embalaje y artículos de librería",4 digitos,C7
5239,Venta al por menor en comercios especializados n.c.p.,4 digitos,C7
5241,Venta al por menor de muebles usados,4 digitos,C7
5242,"Venta al por menor de libros, revistas y similares usados",4 digitos,C7
5249,Venta al por menor de artículos usados n.c.p.,4 digitos,C7
5251,"Venta al por menor  por correo, televisión, internet y otros medios de comunicación",4 digitos,C7
5252,Venta al por menor en puestos móviles,4 digitos,C7
5259,Venta al por menor no realizada en establecimientos  n.c.p.,4 digitos,C7
5261,Reparación de calzado y artículos de marroquinería,4 digitos,C7
5262,Reparación de artículos eléctricos de uso doméstico,4 digitos,C7
5269,Reparación de efectos personales y enseres domésticos n.c.p.,4 digitos,C7
5511,Servicios de alojamiento en camping,4 digitos,C7
5512,Servicios de alojamiento excepto en camping,4 digitos,C7
5521,"Servicios de expendio de comidas y bebidas en restaurantes, bares y otros establecimientos con servicio de mesa y/o en mostrador excepto en heladerías",4 digitos,C7
5522,Preparación y venta de comidas para llevar,4 digitos,C7
6010,Servicio de transporte ferroviario,4 digitos,C7
6021,Servicio de transporte automotor de cargas,4 digitos,C7
6022,Servicio de transporte automotor de pasajeros,4 digitos,C7
6030,Servicio de transporte por tuberías,4 digitos,C7
6110,Servicio de transporte marítimo,4 digitos,C7
6120,Servicio de transporte fluvial,4 digitos,C7
6200,Servicio de transporte aéreo de carga y de pasajeros,4 digitos,C7
6310,Servicios de manipulación de carga,4 digitos,C7
6320,Servicios de almacenamiento y depósito,4 digitos,C7
6331,Servicios complementarios para el transporte terrestre,4 digitos,C7
6332,Servicios complementarios para el transporte por agua,4 digitos,C7
6333,Servicios complementarios para el transporte aéreo,4 digitos,C7
6340,Servicios de agencias de viaje y actividades complementarias de apoyo turístico,4 digitos,C7
6350,Servicios de gestión y logística para el transporte de mercaderías,4 digitos,C7
6410,Servicios de correos,4 digitos,C7
6420,Servicios de telecomunicaciones,4 digitos,C7
6521,Servicios de las entidades financieras bancarias,4 digitos,C7
6522,Servicios de las entidades financieras no bancarias,4 digitos,C7
6590,Servicios financieros excepto los de la banca central y las entidades financieras,4 digitos,C7
6610,Servicios de seguros,4 digitos,C7
6620,Administración de fondos de jubilaciones y pensiones (AFJP),4 digitos,C7
6711,Servicios de administración de mercados financieros,4 digitos,C7
6712,Servicios bursátiles de mediación o por cuenta de terceros,4 digitos,C7
6719,"Servicios auxiliares a la actividad financiera n.c.p., excepto a los servicios de seguros y de administración de fondos de jubilaciones y pensiones",4 digitos,C7
6721,Servicios auxiliares a los servicios de seguros,4 digitos,C7
6722,Servicios auxiliares a la administración de fondos de jubilaciones y pensiones,4 digitos,C7
7010,"Servicios inmobiliarios realizados por cuenta propia, con bienes propios o arrendados",4 digitos,C7
7020,Servicios inmobiliarios realizados a cambio de un retribución o por contrata,4 digitos,C7
7111,"Alquiler de equipo de transporte para vía terrestre, sin operarios",4 digitos,C7
7112,"Alquiler de equipo de transporte para vía acuática, sin operarios ni tripulación",4 digitos,C7
7113,"Alquiler de equipo de transporte para vía aérea, sin operarios ni tripulación",4 digitos,C7
7120,Alquiler de maquinaria y equipo n.c.p.,4 digitos,C7
7130,Alquiler de efectos personales y enseres domésticos n.c.p.,4 digitos,C7
7210,Servicios de consultores en equipo de informática,4 digitos,C7
7220,Servicios de consultores en informática y suministros de programas de informática,4 digitos,C7
7230,Procesamiento de datos,4 digitos,C7
7240,Servicios relacionados con bases de datos,4 digitos,C7
7250,"Mantenimiento y reparación de maquinaria de oficina, contabilidad e informática",4 digitos,C7
7290,Actividades de informática n.c.p.,4 digitos,C7
7300,Investigación y desarrollo,4 digitos,C7
7410,"Servicios jurídicos y de contabilidad, teneduría de libros y auditoría; asesoramiento en materia de impuestos; estudios de mercados y realización de encuestas de opinión pública; asesoramiento empresarial y en materia de gestión",4 digitos,C7
7421,Servicios de arquitectura e ingeniería y servicios conexos de asesoramiento técnico,4 digitos,C7
7422,Ensayos y análisis técnicos,4 digitos,C7
7430,Servicios de publicidad,4 digitos,C7
7491,Obtención y dotación de personal,4 digitos,C7
7492,Servicios de investigación y seguridad,4 digitos,C7
7493,Servicios de limpieza de edificios,4 digitos,C7
7494,Servicios de fotografía,4 digitos,C7
7495,Servicios de envase y empaque,4 digitos,C7
7496,"Servicios de impresión heliográfica, fotocopia y otras formas de reproducciones",4 digitos,C7
7499,Servicios empresariales n.c.p.,4 digitos,C7
7500,Agencias de empleo eventual,4 digitos,C7
8000,Enseñanza,4 digitos,C7
8510,Servicios relacionados con la salud humana,4 digitos,C7
8520,Servicios veterinarios,4 digitos,C7
8530,Servicios sociales,4 digitos,C7
9000,"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares",4 digitos,C7
9100,Servicios de asociaciones n.c.p.,4 digitos,C7
9211,Producción y distribución de filmes y videocintas,4 digitos,C7
9212,Exhibición de filmes y videocintas,4 digitos,C7
9213,Servicios de radio y televisión,4 digitos,C7
9214,Servicios teatrales y musicales y servicios artísticos n.c.p.,4 digitos,C7
9219,Servicios de espectáculos artísticos y de diversión  n.c.p.,4 digitos,C7
9220,Servicios de agencias de noticias,4 digitos,C7
9230,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",4 digitos,C7
9241,Servicios para prácticas deportivas,4 digitos,C7
9249,Servicios de esparcimiento n.c.p.,4 digitos,C7
9301,"Lavado y limpieza de artículos de tela, cuero y/o de piel, incluso la limpieza en seco",4 digitos,C7
9302,Servicios de peluquería y  tratamientos de belleza,4 digitos,C7
9303,Pompas fúnebres y servicios conexos,4 digitos,C7
9309,Servicios n.c.p.,4 digitos,C7
