Período,Sector,Remuneracion
Marzo 1996,B,832.64
Marzo 1996,C,1312.0
Marzo 1996,D,605.64
Marzo 1996,E,1330.55
Marzo 1996,F,369.27
Marzo 1996,G,470.69
Marzo 1996,H,449.695
Marzo 1996,I,885.4
Marzo 1996,J,1099.81
Marzo 1996,K,440.16
Marzo 1996,M,396.9
Marzo 1996,N,544.5
Marzo 1996,O,522.92
Abril 1996,A,310.65
Abril 1996,B,750.45
Abril 1996,C,1325.0
Abril 1996,D,615.2
Abril 1996,E,1197.44
Abril 1996,F,370.56
Abril 1996,G,469.13
Abril 1996,H,451.4
Abril 1996,I,887.56
Abril 1996,J,1071.58
Abril 1996,K,440.0
Abril 1996,M,397.88
Abril 1996,N,545.5
Abril 1996,O,515.8
Mayo 1996,A,314.26
Mayo 1996,B,800.0
Mayo 1996,C,1380.0
Mayo 1996,D,639.59
Mayo 1996,E,1183.88
Mayo 1996,F,391.1
Mayo 1996,G,469.29
Mayo 1996,H,457.75
Mayo 1996,I,890.945
Mayo 1996,J,1083.3
Mayo 1996,K,443.14
Mayo 1996,M,397.59
Mayo 1996,N,550.5
Mayo 1996,O,517.5
Junio 1996,A,455.94
Junio 1996,B,783.04
Junio 1996,C,1982.465
Junio 1996,D,905.085
Junio 1996,E,1744.69
Junio 1996,F,489.19
Junio 1996,G,693.85
Junio 1996,H,663.055
Junio 1996,I,1304.51
Junio 1996,J,1650.0
Junio 1996,K,638.04
Junio 1996,M,545.39
Junio 1996,N,809.82
Junio 1996,O,761.14
Julio 1996,A,314.65
Julio 1996,B,633.35
Julio 1996,C,1317.96
Julio 1996,D,630.36
Julio 1996,E,1218.585
Julio 1996,F,364.25
Julio 1996,G,467.9
Julio 1996,H,452.96
Julio 1996,I,867.75
Julio 1996,J,1090.42
Julio 1996,K,438.87
Julio 1996,M,397.59
Julio 1996,N,552.53
Julio 1996,O,513.165
Agosto 1996,A,314.38
Agosto 1996,B,697.36
Agosto 1996,C,1274.54
Agosto 1996,D,624.57
Agosto 1996,E,1240.0
Agosto 1996,F,353.51
Agosto 1996,G,468.05
Agosto 1996,H,458.5
Agosto 1996,I,858.33
Agosto 1996,J,1148.5
Agosto 1996,K,439.17
Agosto 1996,M,398.26
Agosto 1996,N,553.41
Agosto 1996,O,513.44
Septiembre 1996,A,310.88
Septiembre 1996,B,792.77
Septiembre 1996,C,1356.2
Septiembre 1996,D,604.25
Septiembre 1996,E,1315.61
Septiembre 1996,F,334.04
Septiembre 1996,G,472.0
Septiembre 1996,H,446.74
Septiembre 1996,I,834.68
Septiembre 1996,J,1154.24
Septiembre 1996,K,439.3
Septiembre 1996,M,397.64
Septiembre 1996,N,557.7
Septiembre 1996,O,516.49
Octubre 1996,A,315.63
Octubre 1996,B,771.44
Octubre 1996,C,1320.075
Octubre 1996,D,640.99
Octubre 1996,E,1234.985
Octubre 1996,F,364.0
Octubre 1996,G,469.17
Octubre 1996,H,453.46
Octubre 1996,I,871.19
Octubre 1996,J,1147.56
Octubre 1996,K,440.96
Octubre 1996,M,398.24
Octubre 1996,N,553.85
Octubre 1996,O,516.17
Noviembre 1996,A,312.62
Noviembre 1996,B,844.1
Noviembre 1996,C,1330.33
Noviembre 1996,D,603.2
Noviembre 1996,E,1194.77
Noviembre 1996,F,341.62
Noviembre 1996,G,462.98
Noviembre 1996,H,445.0
Noviembre 1996,I,845.62
Noviembre 1996,J,1113.2
Noviembre 1996,K,433.33
Noviembre 1996,M,397.94
Noviembre 1996,N,546.36
Noviembre 1996,O,510.55
Diciembre 1996,A,453.15
Diciembre 1996,B,933.105
Diciembre 1996,C,2002.38
Diciembre 1996,D,938.98
Diciembre 1996,E,1808.37
Diciembre 1996,F,465.195
Diciembre 1996,G,687.63
Diciembre 1996,H,655.86
Diciembre 1996,I,1265.97
Diciembre 1996,J,1746.89
Diciembre 1996,K,628.99
Diciembre 1996,M,562.475
Diciembre 1996,N,810.81
Diciembre 1996,O,753.08
Enero 1997,A,320.21
Enero 1997,B,682.07
Enero 1997,C,1394.85
Enero 1997,D,614.32
Enero 1997,E,1349.5
Enero 1997,F,343.81
Enero 1997,G,481.32
Enero 1997,H,463.18
Enero 1997,I,861.34
Enero 1997,J,1197.515
Enero 1997,K,447.99
Enero 1997,M,399.32
Enero 1997,N,568.395
Enero 1997,O,528.0
Febrero 1997,A,317.76
Febrero 1997,B,692.155
Febrero 1997,C,1362.29
Febrero 1997,D,586.31
Febrero 1997,E,1268.315
Febrero 1997,F,321.23
Febrero 1997,G,473.51
Febrero 1997,H,456.585
Febrero 1997,I,839.9
Febrero 1997,J,1147.8
Febrero 1997,K,439.0
Febrero 1997,M,400.0
Febrero 1997,N,557.2
Febrero 1997,O,516.81
Marzo 1997,A,317.4
Marzo 1997,B,706.33
Marzo 1997,C,1321.035
Marzo 1997,D,599.31
Marzo 1997,E,1341.955
Marzo 1997,F,338.95
Marzo 1997,G,469.54
Marzo 1997,H,450.23
Marzo 1997,I,843.37
Marzo 1997,J,1091.82
Marzo 1997,K,437.97
Marzo 1997,M,396.06
Marzo 1997,N,557.11
Marzo 1997,O,519.98
Abril 1997,A,316.2
Abril 1997,B,759.49
Abril 1997,C,1348.41
Abril 1997,D,605.28
Abril 1997,E,1243.57
Abril 1997,F,346.7
Abril 1997,G,466.71
Abril 1997,H,443.92
Abril 1997,I,831.83
Abril 1997,J,1096.275
Abril 1997,K,434.77
Abril 1997,M,396.0
Abril 1997,N,550.66
Abril 1997,O,511.83
Mayo 1997,A,314.26
Mayo 1997,B,722.9
Mayo 1997,C,1378.62
Mayo 1997,D,622.29
Mayo 1997,E,1201.335
Mayo 1997,F,352.9
Mayo 1997,G,467.75
Mayo 1997,H,451.865
Mayo 1997,I,844.0
Mayo 1997,J,1092.53
Mayo 1997,K,438.075
Mayo 1997,M,395.465
Mayo 1997,N,557.24
Mayo 1997,O,515.0
Junio 1997,A,455.94
Junio 1997,B,893.985
Junio 1997,C,1960.27
Junio 1997,D,900.0
Junio 1997,E,1818.68
Junio 1997,F,450.805
Junio 1997,G,691.16
Junio 1997,H,656.23
Junio 1997,I,1221.37
Junio 1997,J,1704.79
Junio 1997,K,628.24
Junio 1997,M,544.08
Junio 1997,N,817.41
Junio 1997,O,752.02
Julio 1997,A,315.91
Julio 1997,B,676.85
Julio 1997,C,1338.26
Julio 1997,D,621.11
Julio 1997,E,1219.85
Julio 1997,F,346.71
Julio 1997,G,467.545
Julio 1997,H,449.95
Julio 1997,I,834.255
Julio 1997,J,1109.78
Julio 1997,K,435.05
Julio 1997,M,396.0
Julio 1997,N,558.0
Julio 1997,O,515.0
Agosto 1997,A,315.0
Agosto 1997,B,602.33
Agosto 1997,C,1325.625
Agosto 1997,D,600.0
Agosto 1997,E,1223.585
Agosto 1997,F,330.12
Agosto 1997,G,465.65
Agosto 1997,H,455.8
Agosto 1997,I,815.29
Agosto 1997,J,1130.17
Agosto 1997,K,433.51
Agosto 1997,M,393.55
Agosto 1997,N,554.74
Agosto 1997,O,513.7
Septiembre 1997,A,315.2
Septiembre 1997,B,735.405
Septiembre 1997,C,1446.89
Septiembre 1997,D,610.7
Septiembre 1997,E,1292.04
Septiembre 1997,F,337.045
Septiembre 1997,G,471.7
Septiembre 1997,H,443.04
Septiembre 1997,I,813.73
Septiembre 1997,J,1115.11
Septiembre 1997,K,437.39
Septiembre 1997,M,396.0
Septiembre 1997,N,556.33
Septiembre 1997,O,517.78
Octubre 1997,A,317.4
Octubre 1997,B,748.95
Octubre 1997,C,1450.0
Octubre 1997,D,632.15
Octubre 1997,E,1233.13
Octubre 1997,F,350.0
Octubre 1997,G,466.45
Octubre 1997,H,447.2
Octubre 1997,I,801.29
Octubre 1997,J,1115.19
Octubre 1997,K,435.665
Octubre 1997,M,395.53
Octubre 1997,N,554.28
Octubre 1997,O,516.89
Noviembre 1997,A,311.27
Noviembre 1997,B,730.3
Noviembre 1997,C,1404.955
Noviembre 1997,D,591.13
Noviembre 1997,E,1225.0
Noviembre 1997,F,324.29
Noviembre 1997,G,462.65
Noviembre 1997,H,441.18
Noviembre 1997,I,817.08
Noviembre 1997,J,1155.27
Noviembre 1997,K,430.45
Noviembre 1997,M,397.005
Noviembre 1997,N,550.0
Noviembre 1997,O,510.49
Diciembre 1997,A,454.5
Diciembre 1997,B,986.81
Diciembre 1997,C,2128.01
Diciembre 1997,D,933.66
Diciembre 1997,E,1861.4
Diciembre 1997,F,467.42
Diciembre 1997,G,689.0
Diciembre 1997,H,648.065
Diciembre 1997,I,1218.48
Diciembre 1997,J,1769.17
Diciembre 1997,K,626.87
Diciembre 1997,M,548.44
Diciembre 1997,N,816.58
Diciembre 1997,O,757.22
Enero 1998,A,318.5
Enero 1998,B,484.68
Enero 1998,C,1461.54
Enero 1998,D,607.0
Enero 1998,E,1384.97
Enero 1998,F,330.74
Enero 1998,G,483.01
Enero 1998,H,458.79
Enero 1998,I,833.5
Enero 1998,J,1183.03
Enero 1998,K,441.76
Enero 1998,M,391.0
Enero 1998,N,571.8
Enero 1998,O,524.425
Febrero 1998,A,317.51
Febrero 1998,B,632.92
Febrero 1998,C,1405.98
Febrero 1998,D,581.215
Febrero 1998,E,1293.5
Febrero 1998,F,318.19
Febrero 1998,G,473.355
Febrero 1998,H,450.0
Febrero 1998,I,828.75
Febrero 1998,J,1177.44
Febrero 1998,K,435.84
Febrero 1998,M,402.45
Febrero 1998,N,560.245
Febrero 1998,O,518.56
Marzo 1998,A,319.2
Marzo 1998,B,816.0
Marzo 1998,C,1361.34
Marzo 1998,D,600.0
Marzo 1998,E,1370.82
Marzo 1998,F,342.65
Marzo 1998,G,468.91
Marzo 1998,H,441.33
Marzo 1998,I,821.93
Marzo 1998,J,1140.0
Marzo 1998,K,434.03
Marzo 1998,M,402.99
Marzo 1998,N,555.61
Marzo 1998,O,521.3
Abril 1998,A,316.35
Abril 1998,B,735.01
Abril 1998,C,1407.41
Abril 1998,D,601.33
Abril 1998,E,1304.955
Abril 1998,F,339.26
Abril 1998,G,469.13
Abril 1998,H,444.88
Abril 1998,I,831.83
Abril 1998,J,1138.275
Abril 1998,K,433.86
Abril 1998,M,408.1
Abril 1998,N,555.82
Abril 1998,O,514.67
Mayo 1998,A,314.26
Mayo 1998,B,794.58
Mayo 1998,C,1397.54
Mayo 1998,D,600.21
Mayo 1998,E,1282.355
Mayo 1998,F,336.64
Mayo 1998,G,468.78
Mayo 1998,H,449.69
Mayo 1998,I,834.96
Mayo 1998,J,1118.43
Mayo 1998,K,433.99
Mayo 1998,M,407.29
