Período,"Agricultura, ganadería y pesca",Minería y petróleo (3),Industria,"Electricidad, gas y agua (3)",Construcción,Comercio,Servicios,Total
1º Trim 1996,232178.0,33062.0,878075.0,44276.0,180345.0,516670.0,1512216.0,3396822.0
2º Trim 1996,241989.0,33736.0,890153.0,44636.0,189718.0,528501.0,1545383.0,3474116.0
3º Trim 1996,248576.0,34176.0,901130.0,45250.0,203033.0,539667.0,1580151.0,3551983.0
4º Trim 1996,252326.0,36235.0,909906.0,44484.0,213911.0,550211.0,1613313.0,3620386.0
1º Trim 1997,258086.0,35711.0,921352.0,44705.0,230445.0,560870.0,1650727.0,3701896.0
2º Trim 1997,264195.0,37072.0,931583.0,45012.0,239261.0,571129.0,1693785.0,3782037.0
3º Trim 1997,263606.0,37629.0,937781.0,47384.0,246936.0,584232.0,1741930.0,3859498.0
4º Trim 1997,265547.0,37673.0,946178.0,47623.0,253410.0,596925.0,1798683.0,3946039.0
1º Trim 1998,268710.0,38577.0,949911.0,47980.0,258693.0,607728.0,1858731.0,4030330.0
2º Trim 1998,265251.0,39073.0,955015.0,47996.0,263940.0,618152.0,1889544.0,4078971.0
3º Trim 1998,268630.0,38903.0,951399.0,49010.0,269831.0,623774.0,1914687.0,4116234.0
4º Trim 1998,268219.0,37168.0,940454.0,48346.0,272671.0,625546.0,1918708.0,4111112.0
1º Trim 1999,266925.0,35437.0,926006.0,48242.0,273758.0,623830.0,1907277.0,4081475.0
2º Trim 1999,262066.0,34779.0,905548.0,48214.0,275028.0,622043.0,1913364.0,4061042.0
3º Trim 1999,259590.0,35016.0,889959.0,49241.0,268469.0,618098.0,1913350.0,4033723.0
4º Trim 1999,259240.0,35775.0,879993.0,49201.0,256952.0,616700.0,1919543.0,4017404.0
1º Trim 2000,257485.0,36603.0,869343.0,48750.0,243348.0,619689.0,1925148.0,4000366.0
2º Trim 2000,256406.0,36942.0,858602.0,48890.0,228520.0,619789.0,1929570.0,3978719.0
3º Trim 2000,259287.0,36932.0,852307.0,48381.0,224979.0,625340.0,1944070.0,3991296.0
4º Trim 2000,260158.0,36709.0,846270.0,48911.0,227638.0,632745.0,1958375.0,4010806.0
1º Trim 2001,260240.0,37790.0,840258.0,48927.0,226514.0,637380.0,1962287.0,4013396.0
2º Trim 2001,261464.0,38326.0,829842.0,48816.0,219719.0,636616.0,1954720.0,3989503.0
3º Trim 2001,253192.0,37449.0,809406.0,49072.0,200670.0,624783.0,1925108.0,3899680.0
4º Trim 2001,246197.0,37043.0,779631.0,48676.0,176676.0,606816.0,1885605.0,3780644.0
1º Trim 2002,241047.0,36237.0,742156.0,47801.0,136699.0,578140.0,1808666.0,3590746.0
2º Trim 2002,240253.0,34811.0,729731.0,46142.0,120096.0,564529.0,1780250.0,3515812.0
3º Trim 2002,242937.0,34555.0,726803.0,45980.0,115833.0,554977.0,1767139.0,3488224.0
4º Trim 2002,246184.0,35436.0,732039.0,45889.0,121030.0,553681.0,1766619.0,3500878.0
1º Trim 2003,251551.0,36795.0,752413.0,45902.0,135410.0,561828.0,1796092.0,3579991.0
2º Trim 2003,257916.0,38167.0,773724.0,46078.0,150320.0,575907.0,1833679.0,3675791.0
