Período,"Agricultura, ganadería y pesca",Minería y petróleo (3),Industria,"Electricidad, gas y agua (3)",Construcción,Comercio,Servicios,Total
3º Trim 2003,263793.0,39350.0,797668.0,46375.0,164781.0,595301.0,1870714.0,3777982.0
4º Trim 2003,268924.0,40465.0,822532.0,46518.0,179378.0,614404.0,1910184.0,3882405.0
1º Trim 2004,276401.0,42389.0,849149.0,47514.0,193371.0,634189.0,1947701.0,3990714.0
2º Trim 2004,283569.0,43441.0,874375.0,47921.0,204911.0,654452.0,1996208.0,4104877.0
3º Trim 2004,290039.0,44838.0,898071.0,48245.0,219744.0,683228.0,2074551.0,4258716.0
4º Trim 2004,295110.0,46576.0,922780.0,48769.0,236964.0,706310.0,2122160.0,4378669.0
1º Trim 2005,302534.0,48305.0,946900.0,48929.0,259430.0,726512.0,2178330.0,4510940.0
2º Trim 2005,308519.0,50662.0,965414.0,49568.0,281275.0,747021.0,2230544.0,4633003.0
3º Trim 2005,313497.0,51517.0,984592.0,49654.0,303315.0,765422.0,2282580.0,4750577.0
4º Trim 2005,318321.0,52732.0,1008970.0,50472.0,327014.0,785767.0,2335952.0,4879228.0
1º Trim 2006,323622.0,54936.0,1029835.0,51771.0,341800.0,804142.0,2383875.0,4989981.0
2º Trim 2006,326903.0,55703.0,1049502.0,51189.0,354480.0,821505.0,2428936.0,5088218.0
3º Trim 2006,330819.0,56840.0,1065548.0,51753.0,363405.0,839643.0,2474737.0,5182745.0
4º Trim 2006,333285.0,58969.0,1084284.0,52108.0,381425.0,860358.0,2525858.0,5296287.0
1º Trim 2007,337518.0,61312.0,1104181.0,52475.0,402485.0,885664.0,2574669.0,5418304.0
2º Trim 2007,340164.0,62788.0,1122339.0,52779.0,418399.0,904380.0,2623727.0,5524576.0
3º Trim 2007,343197.0,64739.0,1142242.0,52791.0,430017.0,927002.0,2677729.0,5637717.0
4º Trim 2007,348517.0,66713.0,1162454.0,53218.0,430512.0,960778.0,2742005.0,5764197.0
1º Trim 2008,352783.0,68599.0,1182354.0,53810.0,431174.0,973555.0,2784137.0,5846412.0
2º Trim 2008,360548.0,69702.0,1201445.0,54233.0,434069.0,993016.0,2824119.0,5937132.0
3º Trim 2008,362595.0,70687.0,1209085.0,54382.0,426113.0,1007109.0,2839975.0,5969946.0
4º Trim 2008,363074.0,70961.0,1200606.0,54417.0,415603.0,1007429.0,2833704.0,5945794.0
1º Trim 2009,355824.0,69717.0,1183116.0,54571.0,401134.0,1002278.0,2799699.0,5866339.0
2º Trim 2009,348028.0,68522.0,1167432.0,55598.0,394938.0,1000232.0,2783107.0,5817857.0
3º Trim 2009,352148.0,68117.0,1167456.0,55949.0,393024.0,1002270.0,2788659.0,5827623.0
4º Trim 2009,353586.0,68191.0,1174117.0,56302.0,388244.0,1009051.0,2808665.0,5858156.0
1º Trim 2010,350339.0,69124.0,1185723.0,56418.0,389284.0,1020379.0,2839910.0,5911177.0
2º Trim 2010,349023.0,69775.0,1196195.0,56658.0,391704.0,1030492.0,2866520.0,5960367.0
3º Trim 2010,349960.0,70876.0,1205755.0,57509.0,398951.0,1042023.0,2892094.0,6017168.0
4º Trim 2010,353605.0,72045.0,1214373.0,57612.0,411437.0,1054583.0,2922635.0,6086290.0
1º Trim 2011,361662.0,73197.0,1233188.0,58366.0,426222.0,1067271.0,2960638.0,6180544.0
2º Trim 2011,368072.0,73792.0,1249907.0,59010.0,436148.0,1079595.0,2995540.0,6262064.0
3º Trim 2011,367328.0,74946.0,1261772.0,59553.0,443142.0,1090498.0,3024034.0,6321273.0
4º Trim 2011,368320.0,76286.0,1271612.0,60247.0,447919.0,1099556.0,3042560.0,6366500.0
1º Trim 2012,361318.0,77480.0,1268917.0,60415.0,442411.0,1101926.0,3055215.0,6367682.0
2º Trim 2012,357506.0,77925.0,1271255.0,61016.0,433775.0,1104468.0,3055623.0,6361568.0
3º Trim 2012,359602.0,78339.0,1272100.0,61139.0,423859.0,1105528.0,3058101.0,6358668.0
4º Trim 2012,360413.0,78924.0,1278305.0,61947.0,419172.0,1110296.0,3069165.0,6378222.0
1º Trim 2013,364660.0,79952.0,1288843.0,62788.0,424015.0,1115582.0,3076088.0,6411928.0
2º Trim 2013,363660.0,80536.0,1287211.0,63368.0,428812.0,1115926.0,3082717.0,6422230.0
3º Trim 2013,355530.0,81571.0,1289392.0,64283.0,429210.0,1119233.0,3090538.0,6429757.0
4º Trim 2013,349563.0,83342.0,1290393.0,65072.0,429008.0,1123098.0,3096578.0,6437054.0
1º Trim 2014,350898.0,85540.0,1284204.0,65826.0,423653.0,1123279.0,3088546.0,6421946.0
2º Trim 2014,354509.0,86666.0,1279491.0,66647.0,421645.0,1122433.0,3089428.0,6420819.0
3º Trim 2014,361221.0,87931.0,1276419.0,67256.0,426517.0,1122921.0,3096164.0,6438429.0
4º Trim 2014,364908.0,89755.0,1275508.0,68192.0,434226.0,1124084.0,3111050.0,6467723.0
1º Trim 2015,363608.0,91361.0,1281740.0,68757.0,447480.0,1130905.0,3136977.0,6520828.0
2º Trim 2015,363927.0,91024.0,1292423.0,69596.0,462199.0,1141344.0,3166956.0,6587469.0
3º Trim 2015,358695.0,90552.0,1298808.0,70400.0,464575.0,1148679.0,3188609.0,6620318.0
4º Trim 2015,351260.0,89517.0,1296273.0,70723.0,448327.0,1152815.0,3197621.0,6606536.0
1º Trim 2016,350836.0,88236.0,1286867.0,71003.0,422301.0,1158800.0,3195736.0,6573779.0
2º Trim 2016,350193.0,85874.0,1274369.0,71024.0,412386.0,1159793.0,3188284.0,6541923.0
3º Trim 2016,355174.0,84661.0,1264641.0,71372.0,413685.0,1162357.0,3179485.0,6531375.0
4º Trim 2016,360711.0,84064.0,1258424.0,71701.0,422241.0,1166960.0,3184933.0,6549034.0
1º Trim 2017,359115.0,82621.0,1252900.0,72490.0,436742.0,1168278.0,3202657.0,6574803.0
2º Trim 2017,358004.0,81232.0,1249382.0,72791.0,447592.0,1172529.0,3210286.0,6591816.0
3º Trim 2017,358734.0,81157.0,1243720.0,73368.0,460716.0,1177977.0,3230753.0,6626425.0
4º Trim 2017,362556.0,81313.0,1245370.0,73980.0,472597.0,1187447.0,3244814.0,6668077.0
1º Trim 2018,364832.0,81638.0,1242051.0,74347.0,477163.0,1190941.0,3250809.0,6681781.0
2º Trim 2018,362274.0,84975.0,1229746.0,74249.0,475847.0,1187890.0,3249775.0,6664756.0
3º Trim 2018,367461.0,85361.0,1211994.0,74091.0,467761.0,1178850.0,3229559.0,6615077.0
4º Trim 2018,374639.0,86713.0,1193889.0,74049.0,459707.0,1163012.0,3212006.0,6564015.0
1º Trim 2019,369913.0,88225.0,1181380.0,74183.0,470090.0,1151731.0,3197994.0,6533516.0
2º Trim 2019,373436.0,89442.0,1172110.0,74254.0,465226.0,1144055.0,3183404.0,6501927.0
3º Trim 2019,371258.0,90441.0,1162657.0,74347.0,452698.0,1138474.0,3180486.0,6470361.0
4º Trim 2019,369619.0,90160.0,1148613.0,74182.0,421428.0,1131206.0,3168394.0,6403602.0
1º Trim 2020,366204.0,89352.0,1138939.0,73813.0,393675.0,1126495.0,3151012.0,6339490.0
2º Trim 2020,361475.0,87033.0,1132608.0,73545.0,335061.0,1107166.0,3049753.0,6146641.0
3º Trim 2020,359704.0,84338.0,1140761.0,73659.0,330050.0,1104316.0,3038985.0,6131813.0
4º Trim 2020,359278.0,82882.0,1153627.0,73767.0,346187.0,1105208.0,3036989.0,6157938.0
1º Trim 2021,363359.0,84518.0,1164060.0,74077.0,364431.0,1108195.0,3046461.0,6205101.0
2º Trim 2021,369216.0,85189.0,1175072.0,74158.0,377370.0,1116645.0,3067482.0,6265132.0
3º Trim 2021,369844.0,85880.0,1179591.0,74193.0,392103.0,1121243.0,3073530.0,6296384.0
4º Trim 2021,366491.0,86811.0,1190494.0,74329.0,408684.0,1136388.0,3116327.0,6379524.0
1º Trim 2022,362930.0,88574.0,1206708.0,74474.0,424842.0,1156294.0,3158018.0,6471840.0
2º Trim 2022,360293.0,89760.0,1225169.0,74590.0,441789.0,1176661.0,3192704.0,6560966.0
3º Trim 2022,357729.0,91675.0,1237591.0,75047.0,454062.0,1193555.0,3219944.0,6629603.0
4º Trim 2022,356766.0,93534.0,1246970.0,75558.0,468045.0,1209766.0,3236120.0,6686759.0
1º Trim 2023,357205.0,95418.0,1258496.0,75872.0,480867.0,1227245.0,3254838.0,6749941.0
2º Trim 2023,354688.0,96644.0,1268994.0,75884.0,489443.0,1243490.0,3274562.0,6803705.0
3º Trim 2023,357544.0,98142.0,1276622.0,76300.0,481642.0,1258870.0,3287426.0,6836546.0
4º Trim 2023,354186.0,99153.0,1271577.0,76942.0,455922.0,1263360.0,3279294.0,6800434.0
1º Trim 2024,362194.0,100590.0,1259520.0,77068.0,412146.0,1259725.0,3254458.0,6725701.0
2º Trim 2024,365046.0,100263.0,1244212.0,76481.0,390105.0,1255321.0,3229516.0,6660944.0
3º Trim 2024,365943.0,99987.0,1240660.0,75936.0,386564.0,1263963.0,3220878.0,6653931.0
4º Trim 2024,366808.0,99316.0,1244075.0,75914.0,389446.0,1277006.0,3225800.0,6678365.0
1º Trim 2025,363249.0,97854.0,1241048.0,75907.0,396105.0,1283566.0,3227588.0,6685317.0
2º Trim 2025,364048.0,94498.0,1234339.0,76149.0,395850.0,1288675.0,3228851.0,6682410.0
