Sector,Período,Empleo
2,1º Trim 2010,10327.0
2,2º Trim 2010,10344.0
2,3º Trim 2010,10168.0
2,4º Trim 2010,10004.0
2,1º Trim 2011,10217.0
2,2º Trim 2011,10450.0
2,3º Trim 2011,10468.0
2,4º Trim 2011,10480.0
2,1º Trim 2012,10267.0
2,2º Trim 2012,10200.0
2,3º Trim 2012,10098.0
2,4º Trim 2012,9764.0
2,1º Trim 2013,9514.0
2,2º Trim 2013,9326.0
2,3º Trim 2013,9086.0
2,4º Trim 2013,8960.0
2,1º Trim 2014,8785.0
2,2º Trim 2014,8718.0
2,3º Trim 2014,8480.0
2,4º Trim 2014,8450.0
2,1º Trim 2015,8573.0
2,2º Trim 2015,8822.0
2,3º Trim 2015,8593.0
2,4º Trim 2015,8489.0
2,1º Trim 2016,8408.0
2,2º Trim 2016,8130.0
2,3º Trim 2016,7846.0
2,4º Trim 2016,7810.0
2,1º Trim 2017,7747.0
2,2º Trim 2017,7830.0
2,3º Trim 2017,7786.0
2,4º Trim 2017,7758.0
2,1º Trim 2018,7822.0
2,2º Trim 2018,7800.0
2,3º Trim 2018,7717.0
2,4º Trim 2018,7801.0
2,1º Trim 2019,7917.0
2,2º Trim 2019,7773.0
2,3º Trim 2019,7659.0
2,4º Trim 2019,7489.0
2,1º Trim 2020,7470.0
2,2º Trim 2020,7195.0
2,3º Trim 2020,7088.0
2,4º Trim 2020,7079.0
2,1º Trim 2021,7289.0
2,2º Trim 2021,7552.0
2,3º Trim 2021,7711.0
2,4º Trim 2021,7912.0
2,1º Trim 2022,7813.0
2,2º Trim 2022,7788.0
2,3º Trim 2022,7753.0
2,4º Trim 2022,7811.0
2,1º Trim 2023,7793.0
2,2º Trim 2023,7770.0
2,3º Trim 2023,7529.0
2,4º Trim 2023,7350.0
2,1º Trim 2024,7343.0
2,2º Trim 2024,7502.0
2,3º Trim 2024,7612.0
2,4º Trim 2024,7522.0
2,1º Trim 2025,7411.0
2,2º Trim 2025,7309.0
5,1º Trim 1996,8116.0
5,2º Trim 1996,9255.0
5,3º Trim 1996,9457.0
5,4º Trim 1996,8731.0
5,1º Trim 1997,9729.0
5,2º Trim 1997,10479.0
5,3º Trim 1997,10052.0
5,4º Trim 1997,9005.0
5,1º Trim 1998,9896.0
5,2º Trim 1998,10632.0
5,3º Trim 1998,9584.0
5,4º Trim 1998,8836.0
5,1º Trim 1999,9419.0
5,2º Trim 1999,9519.0
5,3º Trim 1999,8689.0
5,4º Trim 1999,8510.0
5,1º Trim 2000,9014.0
5,2º Trim 2000,8694.0
5,3º Trim 2000,8648.0
5,4º Trim 2000,9008.0
5,1º Trim 2001,9984.0
5,2º Trim 2001,10572.0
5,3º Trim 2001,10150.0
5,4º Trim 2001,10281.0
5,1º Trim 2002,11366.0
5,2º Trim 2002,12722.0
5,3º Trim 2002,12461.0
5,4º Trim 2002,12545.0
5,1º Trim 2003,13610.0
5,2º Trim 2003,14595.0
5,3º Trim 2003,13193.0
5,4º Trim 2003,13584.0
5,1º Trim 2004,15121.0
5,2º Trim 2004,15605.0
5,3º Trim 2004,14100.0
5,4º Trim 2004,13921.0
5,1º Trim 2005,15182.0
5,2º Trim 2005,15567.0
5,3º Trim 2005,13922.0
5,4º Trim 2005,14927.0
5,1º Trim 2006,16057.0
5,2º Trim 2006,16848.0
5,3º Trim 2006,15261.0
5,4º Trim 2006,14942.0
5,1º Trim 2007,15950.0
5,2º Trim 2007,16639.0
5,3º Trim 2007,15158.0
5,4º Trim 2007,14342.0
5,1º Trim 2008,14649.0
5,2º Trim 2008,15659.0
5,3º Trim 2008,14855.0
5,4º Trim 2008,13866.0
5,1º Trim 2009,14147.0
5,2º Trim 2009,14418.0
5,3º Trim 2009,13752.0
5,4º Trim 2009,13179.0
5,1º Trim 2010,13776.0
5,2º Trim 2010,13546.0
5,3º Trim 2010,14148.0
5,4º Trim 2010,13281.0
5,1º Trim 2011,14268.0
5,2º Trim 2011,14383.0
5,3º Trim 2011,14420.0
5,4º Trim 2011,13718.0
5,1º Trim 2012,13908.0
5,2º Trim 2012,13539.0
5,3º Trim 2012,12820.0
5,4º Trim 2012,12539.0
5,1º Trim 2013,12806.0
5,2º Trim 2013,13182.0
5,3º Trim 2013,12867.0
5,4º Trim 2013,13117.0
5,1º Trim 2014,12657.0
5,2º Trim 2014,13062.0
5,3º Trim 2014,12888.0
