Sector,Período,Empleo
A,1º Trim 1996,233667.0
A,2º Trim 1996,235856.0
A,3º Trim 1996,231227.0
A,4º Trim 1996,237822.0
A,1º Trim 1997,258634.0
A,2º Trim 1997,257305.0
A,3º Trim 1997,245450.0
A,4º Trim 1997,250647.0
A,1º Trim 1998,270515.0
A,2º Trim 1998,256484.0
A,3º Trim 1998,251596.0
A,4º Trim 1998,253579.0
A,1º Trim 1999,268784.0
A,2º Trim 1999,253879.0
A,3º Trim 1999,244620.0
A,4º Trim 1999,245149.0
A,1º Trim 2000,258429.0
A,2º Trim 2000,249157.0
A,3º Trim 2000,245415.0
A,4º Trim 2000,245104.0
A,1º Trim 2001,259214.0
A,2º Trim 2001,253327.0
A,3º Trim 2001,238464.0
A,4º Trim 2001,229579.0
A,1º Trim 2002,236715.0
A,2º Trim 2002,231229.0
A,3º Trim 2002,226261.0
A,4º Trim 2002,226714.0
A,1º Trim 2003,245915.0
A,2º Trim 2003,247266.0
A,3º Trim 2003,245582.0
A,4º Trim 2003,247602.0
A,1º Trim 2004,270356.0
A,2º Trim 2004,272555.0
A,3º Trim 2004,269601.0
A,4º Trim 2004,273157.0
A,1º Trim 2005,296746.0
A,2º Trim 2005,298800.0
A,3º Trim 2005,291573.0
A,4º Trim 2005,295987.0
A,1º Trim 2006,318493.0
A,2º Trim 2006,315041.0
A,3º Trim 2006,305986.0
A,4º Trim 2006,312465.0
A,1º Trim 2007,332502.0
A,2º Trim 2007,328201.0
A,3º Trim 2007,317129.0
A,4º Trim 2007,330269.0
A,1º Trim 2008,347739.0
A,2º Trim 2008,350274.0
A,3º Trim 2008,335605.0
A,4º Trim 2008,346856.0
A,1º Trim 2009,351895.0
A,2º Trim 2009,337314.0
A,3º Trim 2009,326240.0
A,4º Trim 2009,339119.0
A,1º Trim 2010,346383.0
A,2º Trim 2010,338939.0
A,3º Trim 2010,323779.0
A,4º Trim 2010,338860.0
A,1º Trim 2011,357855.0
A,2º Trim 2011,357281.0
A,3º Trim 2011,340467.0
A,4º Trim 2011,352471.0
A,1º Trim 2012,358331.0
A,2º Trim 2012,347128.0
A,3º Trim 2012,335351.0
A,4º Trim 2012,344840.0
A,1º Trim 2013,362401.0
A,2º Trim 2013,354244.0
A,3º Trim 2013,332030.0
A,4º Trim 2013,333079.0
A,1º Trim 2014,349873.0
A,2º Trim 2014,343020.0
A,3º Trim 2014,338261.0
A,4º Trim 2014,348826.0
A,1º Trim 2015,362939.0
A,2º Trim 2015,351215.0
A,3º Trim 2015,336272.0
A,4º Trim 2015,336066.0
A,1º Trim 2016,349025.0
A,2º Trim 2016,338178.0
A,3º Trim 2016,334095.0
A,4º Trim 2016,347396.0
A,1º Trim 2017,359002.0
A,2º Trim 2017,344346.0
A,3º Trim 2017,337542.0
A,4º Trim 2017,349166.0
A,1º Trim 2018,363342.0
A,2º Trim 2018,349586.0
A,3º Trim 2018,346378.0
A,4º Trim 2018,360135.0
