Sector,Período,Empleo
111,1º Trim 1996,40773.0
111,2º Trim 1996,44195.0
111,3º Trim 1996,44429.0
111,4º Trim 1996,46676.0
111,1º Trim 1997,47486.0
111,2º Trim 1997,49941.0
111,3º Trim 1997,48088.0
111,4º Trim 1997,50739.0
111,1º Trim 1998,52475.0
111,2º Trim 1998,53605.0
111,3º Trim 1998,51073.0
111,4º Trim 1998,51763.0
111,1º Trim 1999,51878.0
111,2º Trim 1999,52474.0
111,3º Trim 1999,49141.0
111,4º Trim 1999,49588.0
111,1º Trim 2000,49062.0
111,2º Trim 2000,49694.0
111,3º Trim 2000,47744.0
111,4º Trim 2000,49174.0
111,1º Trim 2001,49218.0
111,2º Trim 2001,50351.0
111,3º Trim 2001,47375.0
111,4º Trim 2001,47545.0
111,1º Trim 2002,46386.0
111,2º Trim 2002,48148.0
111,3º Trim 2002,46481.0
111,4º Trim 2002,48935.0
111,1º Trim 2003,50107.0
111,2º Trim 2003,52573.0
111,3º Trim 2003,51777.0
111,4º Trim 2003,53825.0
111,1º Trim 2004,55780.0
111,2º Trim 2004,58815.0
111,3º Trim 2004,56480.0
111,4º Trim 2004,58855.0
111,1º Trim 2005,61467.0
111,2º Trim 2005,65080.0
111,3º Trim 2005,61039.0
111,4º Trim 2005,63141.0
111,1º Trim 2006,65306.0
111,2º Trim 2006,68112.0
111,3º Trim 2006,64041.0
111,4º Trim 2006,66138.0
111,1º Trim 2007,70031.0
111,2º Trim 2007,72582.0
111,3º Trim 2007,66894.0
111,4º Trim 2007,69438.0
111,1º Trim 2008,73357.0
111,2º Trim 2008,76939.0
111,3º Trim 2008,70730.0
111,4º Trim 2008,71686.0
111,1º Trim 2009,72537.0
111,2º Trim 2009,72721.0
111,3º Trim 2009,67639.0
111,4º Trim 2009,69739.0
111,1º Trim 2010,73626.0
111,2º Trim 2010,76420.0
111,3º Trim 2010,69727.0
111,4º Trim 2010,71349.0
111,1º Trim 2011,75876.0
111,2º Trim 2011,80016.0
111,3º Trim 2011,73399.0
111,4º Trim 2011,74454.0
111,1º Trim 2012,74782.0
111,2º Trim 2012,74980.0
111,3º Trim 2012,70255.0
111,4º Trim 2012,71319.0
111,1º Trim 2013,73923.0
111,2º Trim 2013,74724.0
111,3º Trim 2013,68914.0
111,4º Trim 2013,68954.0
111,1º Trim 2014,69957.0
111,2º Trim 2014,71730.0
111,3º Trim 2014,68594.0
111,4º Trim 2014,68426.0
111,1º Trim 2015,71261.0
111,2º Trim 2015,72517.0
111,3º Trim 2015,66310.0
111,4º Trim 2015,65256.0
111,1º Trim 2016,68561.0
111,2º Trim 2016,68600.0
111,3º Trim 2016,65301.0
111,4º Trim 2016,65896.0
111,1º Trim 2017,69377.0
111,2º Trim 2017,70660.0
111,3º Trim 2017,66554.0
111,4º Trim 2017,66163.0
111,1º Trim 2018,67454.0
111,2º Trim 2018,67346.0
111,3º Trim 2018,65049.0
111,4º Trim 2018,65818.0
111,1º Trim 2019,69017.0
111,2º Trim 2019,70373.0
111,3º Trim 2019,66408.0
111,4º Trim 2019,66956.0
111,1ro Trim 2020,70451.0
111,2º Trim 2020,69488.0
111,3º Trim 2020,67813.0
111,4º Trim 2020,68299.0
111,1º Trim 2021,71097.0
111,2º Trim 2021,72675.0
111,3º Trim 2021,70478.0
111,4º Trim 2021,70913.0
111,1º Trim 2022,74498.0
111,2º Trim 2022,74863.0
111,3º Trim 2022,72098.0
111,4º Trim 2022,72603.0
111,1º Trim 2023,75730.0
111,2º Trim 2023,75291.0
111,3º Trim 2023,72311.0
111,4º Trim 2023,72433.0
111,1º Trim 2024,75491.0
111,2º Trim 2024,76436.0
111,3º Trim 2024,73309.0
111,4º Trim 2024,74038.0
111,1º Trim 2025,77066.0
111,2º Trim 2025,77788.0
112,1º Trim 1996,9868.0
112,2º Trim 1996,9997.0
112,3º Trim 1996,9816.0
112,4º Trim 1996,10461.0
112,1º Trim 1997,11808.0
112,2º Trim 1997,11658.0
112,3º Trim 1997,10764.0
112,4º Trim 1997,11594.0
112,1º Trim 1998,12665.0
112,2º Trim 1998,12066.0
112,3º Trim 1998,11031.0
112,4º Trim 1998,11696.0
112,1º Trim 1999,12344.0
112,2º Trim 1999,11376.0
112,3º Trim 1999,10391.0
112,4º Trim 1999,10704.0
112,1º Trim 2000,10941.0
112,2º Trim 2000,11103.0
112,3º Trim 2000,10085.0
112,4º Trim 2000,10173.0
112,1º Trim 2001,10548.0
112,2º Trim 2001,10394.0
112,3º Trim 2001,9308.0
112,4º Trim 2001,9262.0
112,1º Trim 2002,8766.0
112,2º Trim 2002,9064.0
112,3º Trim 2002,8216.0
112,4º Trim 2002,8552.0
112,1º Trim 2003,9139.0
112,2º Trim 2003,9523.0
112,3º Trim 2003,9294.0
