Período,Sexo,Remuneracion,Brecha
3º Trim 2018,Mujeres,36.33312693521666,42.93
3º Trim 2018,Varones,63.66687306478334,42.93
4º Trim 2018,Mujeres,37.00581795078198,41.26
4º Trim 2018,Varones,62.99418204921801,41.26
1º Trim 2019,Mujeres,37.40659169732423,40.24
1º Trim 2019,Varones,62.59340830267576,40.24
2º Trim 2019,Mujeres,37.09883579454838,41.02
2º Trim 2019,Varones,62.901164205451614,41.02
3º Trim 2019,Mujeres,36.93834541381155,41.43
3º Trim 2019,Varones,63.061654586188446,41.43
4º Trim 2019,Mujeres,36.83992938617336,41.67
4º Trim 2019,Varones,63.16007061382663,41.67
1º Trim 2020,Mujeres,36.220871150555894,43.21
1º Trim 2020,Varones,63.77912884944411,43.21
2º Trim 2020,Mujeres,36.33853814747703,42.92
2º Trim 2020,Varones,63.66146185252297,42.92
3º Trim 2020,Mujeres,26.4,64.13
3º Trim 2020,Varones,73.6,64.13
4º Trim 2020,Mujeres,31.5,54.01
4º Trim 2020,Varones,68.5,54.01
1º Trim 2021,Mujeres,35.72516485120946,44.42
1º Trim 2021,Varones,64.27483514879053,44.42
2º Trim 2021,Mujeres,35.13929023541234,45.82
2º Trim 2021,Varones,64.86070976458767,45.82
3º Trim 2021,Mujeres,36.152483740537434,43.38
3º Trim 2021,Varones,63.847516259462566,43.38
4º Trim 2021,Mujeres,36.8748055686198,41.58
4º Trim 2021,Varones,63.12519443138017,41.58
1º Trim 2022,Mujeres,37.3086468539079,40.49
1º Trim 2022,Varones,62.6913531460921,40.49
2º Trim 2022,Mujeres,37.64537318566997,39.63
2º Trim 2022,Varones,62.35462681433003,39.63
3º Trim 2022,Mujeres,37.1324731930169,40.94
3º Trim 2022,Varones,62.8675268069831,40.94
4º Trim 2022,Mujeres,36.784088281001296,41.81
4º Trim 2022,Varones,63.215911718998704,41.81
1º Trim 2023,Mujeres,34.2,48.02
1º Trim 2023,Varones,65.8,48.02
2º Trim 2023,Mujeres,31.8,53.37
2º Trim 2023,Varones,68.2,53.37
3º Trim 2023,Mujeres,35.9,43.99
3º Trim 2023,Varones,64.1,43.99
4º Trim 2023,Mujeres,36.1,43.51
4º Trim 2023,Varones,63.9,43.51
1º Trim 2024,Mujeres,36.2,43.26
1º Trim 2024,Varones,63.8,43.26
2º Trim 2024,Mujeres,36.2,43.26
2º Trim 2024,Varones,63.8,43.26
3º Trim 2024,Mujeres,36.2,43.26
3º Trim 2024,Varones,63.8,43.26
4º Trim 2024,Mujeres,36.7035795502741,42.02
4º Trim 2024,Varones,63.3,42.02
1º Trim 2025,Mujeres,36.671728199280864,42.09
1º Trim 2025,Varones,63.328271800719136,42.09
2º Trim 2025,Mujeres,37.1944479266877,40.78
2º Trim 2025,Varones,62.8055520733123,40.78
3º Trim 2025,Mujeres,37.32510841439777,40.45
3º Trim 2025,Varones,62.67489158560223,40.45
