Sector,Período,Empleo
11,1º Trim 1996,138439.0
11,2º Trim 1996,136844.0
11,3º Trim 1996,128516.0
11,4º Trim 1996,134091.0
11,1º Trim 1997,154352.0
11,2º Trim 1997,148051.0
11,3º Trim 1997,135626.0
11,4º Trim 1997,141862.0
11,1º Trim 1998,162183.0
11,2º Trim 1998,144038.0
11,3º Trim 1998,137790.0
11,4º Trim 1998,141874.0
11,1º Trim 1999,159000.0
11,2º Trim 1999,141167.0
11,3º Trim 1999,131996.0
11,4º Trim 1999,136427.0
11,1º Trim 2000,152046.0
11,2º Trim 2000,137091.0
11,3º Trim 2000,132557.0
11,4º Trim 2000,138569.0
11,1º Trim 2001,154486.0
11,2º Trim 2001,141819.0
11,3º Trim 2001,127743.0
11,4º Trim 2001,129021.0
11,1º Trim 2002,139554.0
11,2º Trim 2002,126931.0
11,3º Trim 2002,121604.0
11,4º Trim 2002,128032.0
11,1º Trim 2003,144663.0
11,2º Trim 2003,134804.0
11,3º Trim 2003,131830.0
11,4º Trim 2003,140687.0
11,1º Trim 2004,160469.0
11,2º Trim 2004,148370.0
11,3º Trim 2004,144775.0
11,4º Trim 2004,155123.0
11,1º Trim 2005,176009.0
11,2º Trim 2005,162860.0
11,3º Trim 2005,155094.0
11,4º Trim 2005,166867.0
11,1º Trim 2006,187443.0
11,2º Trim 2006,171441.0
11,3º Trim 2006,162885.0
11,4º Trim 2006,175999.0
11,1º Trim 2007,196233.0
11,2º Trim 2007,179213.0
11,3º Trim 2007,168094.0
11,4º Trim 2007,184573.0
11,1º Trim 2008,204735.0
11,2º Trim 2008,191120.0
11,3º Trim 2008,180380.0
11,4º Trim 2008,194167.0
11,1º Trim 2009,208483.0
11,2º Trim 2009,182496.0
11,3º Trim 2009,175171.0
11,4º Trim 2009,191388.0
11,1º Trim 2010,206775.0
11,2º Trim 2010,186973.0
11,3º Trim 2010,174504.0
11,4º Trim 2010,193253.0
11,1º Trim 2011,214463.0
11,2º Trim 2011,197399.0
11,3º Trim 2011,184328.0
11,4º Trim 2011,198244.0
11,1º Trim 2012,212489.0
11,2º Trim 2012,190115.0
11,3º Trim 2012,180490.0
11,4º Trim 2012,195398.0
11,1º Trim 2013,216733.0
11,2º Trim 2013,196469.0
11,3º Trim 2013,178699.0
11,4º Trim 2013,189379.0
11,1º Trim 2014,208893.0
11,2º Trim 2014,191889.0
11,3º Trim 2014,185979.0
11,4º Trim 2014,198947.0
11,1º Trim 2015,215728.0
11,2º Trim 2015,194792.0
11,3º Trim 2015,181955.0
11,4º Trim 2015,187789.0
11,1º Trim 2016,202946.0
11,2º Trim 2016,185054.0
11,3º Trim 2016,180853.0
11,4º Trim 2016,194239.0
11,1º Trim 2017,212156.0
11,2º Trim 2017,188111.0
11,3º Trim 2017,180764.0
11,4º Trim 2017,191992.0
11,1º Trim 2018,209831.0
11,2º Trim 2018,189159.0
11,3º Trim 2018,182210.0
11,4º Trim 2018,194456.0
11,1ro Trim 2019,210195.0
11,2º Trim 2019,192199.0
11,3º Trim 2019,183331.0
11,4º Trim 2019,189399.0
11,1º Trim 2020,207012.0
11,2º Trim 2020,184862.0
11,3º Trim 2020,177360.0
11,4º Trim 2020,183117.0
11,1º Trim 2021,201739.0
11,2º Trim 2021,188480.0
11,3º Trim 2021,180517.0
11,4º Trim 2021,184401.0
11,1º Trim 2022,197434.0
11,2º Trim 2022,181362.0
11,3º Trim 2022,175457.0
11,4º Trim 2022,179125.0
11,1º Trim 2023,195154.0
11,2º Trim 2023,178766.0
11,3º Trim 2023,173517.0
11,4º Trim 2023,176361.0
11,1º Trim 2024,136844.0
11,2º Trim 2024,128516.0
11,3º Trim 2024,134091.0
11,4º Trim 2024,154352.0
11,1º Trim 2025,148051.0
11,2º Trim 2025,135626.0
12,1º Trim 1996,79771.0
12,2º Trim 1996,80390.0
12,3º Trim 1996,81623.0
12,4º Trim 1996,83018.0
12,1º Trim 1997,83336.0
12,2º Trim 1997,83781.0
12,3º Trim 1997,83613.0
12,4º Trim 1997,85305.0
12,1º Trim 1998,85141.0
12,2º Trim 1998,84930.0
12,3º Trim 1998,84838.0
12,4º Trim 1998,85841.0
12,1º Trim 1999,84886.0
12,2º Trim 1999,83784.0
12,3º Trim 1999,82703.0
12,4º Trim 1999,82309.0
12,1º Trim 2000,81235.0
12,2º Trim 2000,79942.0
12,3º Trim 2000,79583.0
12,4º Trim 2000,79712.0
12,1º Trim 2001,79229.0
12,2º Trim 2001,78589.0
12,3º Trim 2001,77451.0
12,4º Trim 2001,76504.0
12,1º Trim 2002,74636.0
12,2º Trim 2002,74276.0
12,3º Trim 2002,74433.0
12,4º Trim 2002,76078.0
12,1º Trim 2003,76634.0
12,2º Trim 2003,78018.0
12,3º Trim 2003,79269.0
12,4º Trim 2003,81289.0
12,1º Trim 2004,82047.0
12,2º Trim 2004,83096.0
12,3º Trim 2004,84979.0
12,4º Trim 2004,86892.0
12,1º Trim 2005,87025.0
12,2º Trim 2005,88279.0
12,3º Trim 2005,89867.0
12,4º Trim 2005,92123.0
12,1º Trim 2006,92780.0
12,2º Trim 2006,92844.0
12,3º Trim 2006,93779.0
12,4º Trim 2006,94895.0
12,1º Trim 2007,94796.0
12,2º Trim 2007,94645.0
12,3º Trim 2007,95482.0
12,4º Trim 2007,97086.0
12,1º Trim 2008,96840.0
12,2º Trim 2008,97343.0
12,3º Trim 2008,98178.0
12,4º Trim 2008,98438.0
12,1º Trim 2009,96870.0
12,2º Trim 2009,95360.0
12,3º Trim 2009,94795.0
12,4º Trim 2009,95383.0
12,1º Trim 2010,94667.0
12,2º Trim 2010,94075.0
12,3º Trim 2010,94688.0
12,4º Trim 2010,95970.0
12,1º Trim 2011,96696.0
12,2º Trim 2011,97417.0
12,3º Trim 2011,98333.0
12,4º Trim 2011,99035.0
12,1º Trim 2012,98737.0
12,2º Trim 2012,98074.0
12,3º Trim 2012,98060.0
12,4º Trim 2012,98595.0
12,1º Trim 2013,97974.0
12,2º Trim 2013,97084.0
12,3º Trim 2013,96258.0
12,4º Trim 2013,96131.0
12,1º Trim 2014,95704.0
12,2º Trim 2014,94745.0
12,3º Trim 2014,94338.0
12,4º Trim 2014,94748.0
12,1º Trim 2015,94395.0
12,2º Trim 2015,93546.0
12,3º Trim 2015,92881.0
12,4º Trim 2015,92756.0
12,1º Trim 2016,92643.0
12,2º Trim 2016,91412.0
12,3º Trim 2016,91329.0
12,4º Trim 2016,91773.0
12,1º Trim 2017,91487.0
12,2º Trim 2017,90764.0
12,3º Trim 2017,90799.0
12,4º Trim 2017,91256.0
12,1º Trim 2018,91415.0
12,2º Trim 2018,90673.0
12,3º Trim 2018,90062.0
12,4º Trim 2018,90860.0
12,1ro Trim 2019,90633.0
12,2º Trim 2019,90010.0
12,3º Trim 2019,90324.0
12,4º Trim 2019,91379.0
12,1º Trim 2020,90986.0
12,2º Trim 2020,90605.0
12,3º Trim 2020,91288.0
12,4º Trim 2020,91876.0
12,1º Trim 2021,92182.0
12,2º Trim 2021,92063.0
12,3º Trim 2021,92396.0
12,4º Trim 2021,93189.0
12,1º Trim 2022,93563.0
12,2º Trim 2022,93357.0
12,3º Trim 2022,93701.0
12,4º Trim 2022,94509.0
12,1º Trim 2023,94630.0
12,2º Trim 2023,94002.0
12,3º Trim 2023,94390.0
12,4º Trim 2023,94824.0
12,1º Trim 2024,94887.0
12,2º Trim 2024,94394.0
12,3º Trim 2024,94299.0
12,4º Trim 2024,94852.0
12,1º Trim 2025,94796.0
12,2º Trim 2025,94468.0
14,1º Trim 1996,8997.0
14,2º Trim 1996,11691.0
14,3º Trim 1996,13540.0
14,4º Trim 1996,12910.0
14,1º Trim 1997,13011.0
14,2º Trim 1997,17110.0
14,3º Trim 1997,17663.0
14,4º Trim 1997,14653.0
14,1º Trim 1998,14383.0
14,2º Trim 1998,18149.0
14,3º Trim 1998,19092.0
14,4º Trim 1998,16177.0
14,1º Trim 1999,15531.0
14,2º Trim 1999,19251.0
14,3º Trim 1999,20091.0
14,4º Trim 1999,17044.0
14,1º Trim 2000,15889.0
14,2º Trim 2000,21883.0
14,3º Trim 2000,23233.0
14,4º Trim 2000,17150.0
14,1º Trim 2001,16166.0
14,2º Trim 2001,22902.0
14,3º Trim 2001,23741.0
14,4º Trim 2001,15372.0
14,1º Trim 2002,14856.0
14,2º Trim 2002,22361.0
14,3º Trim 2002,22279.0
14,4º Trim 2002,14480.0
14,1º Trim 2003,16526.0
14,2º Trim 2003,25984.0
14,3º Trim 2003,25709.0
14,4º Trim 2003,16801.0
14,1º Trim 2004,18910.0
14,2º Trim 2004,31548.0
14,3º Trim 2004,30053.0
14,4º Trim 2004,21686.0
14,1º Trim 2005,24493.0
14,2º Trim 2005,37910.0
14,3º Trim 2005,36717.0
14,4º Trim 2005,27076.0
14,1º Trim 2006,28306.0
14,2º Trim 2006,39958.0
14,3º Trim 2006,38413.0
14,4º Trim 2006,30782.0
14,1º Trim 2007,30602.0
14,2º Trim 2007,43184.0
14,3º Trim 2007,42227.0
14,4º Trim 2007,37330.0
14,1º Trim 2008,34660.0
14,2º Trim 2008,49825.0
14,3º Trim 2008,45126.0
14,4º Trim 2008,42849.0
14,1º Trim 2009,35472.0
14,2º Trim 2009,48345.0
14,3º Trim 2009,44842.0
14,4º Trim 2009,41354.0
14,1º Trim 2010,34498.0
14,2º Trim 2010,47426.0
14,3º Trim 2010,44310.0
14,4º Trim 2010,39525.0
14,1º Trim 2011,36347.0
14,2º Trim 2011,51867.0
14,3º Trim 2011,47218.0
14,4º Trim 2011,44603.0
14,1º Trim 2012,36728.0
14,2º Trim 2012,48618.0
14,3º Trim 2012,46594.0
14,4º Trim 2012,40985.0
14,1º Trim 2013,38075.0
14,2º Trim 2013,51245.0
14,3º Trim 2013,47874.0
14,4º Trim 2013,38502.0
14,1º Trim 2014,36385.0
14,2º Trim 2014,47548.0
14,3º Trim 2014,49352.0
14,4º Trim 2014,46583.0
14,1º Trim 2015,44134.0
14,2º Trim 2015,53927.0
14,3º Trim 2015,52735.0
14,4º Trim 2015,46938.0
14,1º Trim 2016,44921.0
14,2º Trim 2016,53470.0
14,3º Trim 2016,53965.0
14,4º Trim 2016,53482.0
14,1º Trim 2017,47506.0
14,2º Trim 2017,57527.0
14,3º Trim 2017,58088.0
14,4º Trim 2017,58066.0
14,1º Trim 2018,54161.0
14,2º Trim 2018,61830.0
14,3º Trim 2018,66292.0
14,4º Trim 2018,66924.0
14,1ro Trim 2019,59258.0
14,2º Trim 2019,70457.0
14,3º Trim 2019,69617.0
14,4º Trim 2019,66000.0
14,1º Trim 2020,59071.0
14,2º Trim 2020,67021.0
14,3º Trim 2020,65251.0
14,4º Trim 2020,60594.0
14,1º Trim 2021,59492.0
14,2º Trim 2021,69365.0
14,3º Trim 2021,69971.0
14,4º Trim 2021,63066.0
14,1º Trim 2022,61436.0
14,2º Trim 2022,66264.0
14,3º Trim 2022,62349.0
14,4º Trim 2022,57051.0
14,1º Trim 2023,56887.0
14,2º Trim 2023,63426.0
14,3º Trim 2023,63222.0
14,4º Trim 2023,57102.0
14,1º Trim 2024,58925.0
14,2º Trim 2024,68492.0
14,3º Trim 2024,66794.0
14,4º Trim 2024,61498.0
14,1º Trim 2025,61162.0
14,2º Trim 2025,68122.0
15,1º Trim 1996,41.0
15,2º Trim 1996,38.0
15,3º Trim 1996,47.0
15,4º Trim 1996,50.0
15,1º Trim 1997,50.0
15,2º Trim 1997,47.0
15,3º Trim 1997,47.0
15,4º Trim 1997,49.0
15,1º Trim 1998,49.0
15,2º Trim 1998,50.0
15,3º Trim 1998,50.0
15,4º Trim 1998,49.0
15,1º Trim 1999,48.0
15,2º Trim 1999,47.0
15,3º Trim 1999,42.0
15,4º Trim 1999,39.0
15,1º Trim 2000,37.0
15,2º Trim 2000,42.0
15,3º Trim 2000,44.0
15,4º Trim 2000,40.0
15,1º Trim 2001,40.0
15,2º Trim 2001,31.0
15,3º Trim 2001,35.0
15,4º Trim 2001,43.0
15,1º Trim 2002,45.0
15,2º Trim 2002,41.0
15,3º Trim 2002,50.0
15,4º Trim 2002,51.0
15,1º Trim 2003,52.0
15,2º Trim 2003,69.0
15,3º Trim 2003,75.0
15,4º Trim 2003,54.0
15,1º Trim 2004,61.0
15,2º Trim 2004,84.0
15,3º Trim 2004,80.0
15,4º Trim 2004,70.0
15,1º Trim 2005,94.0
15,2º Trim 2005,98.0
15,3º Trim 2005,89.0
15,4º Trim 2005,94.0
15,1º Trim 2006,97.0
15,2º Trim 2006,102.0
15,3º Trim 2006,89.0
15,4º Trim 2006,89.0
15,1º Trim 2007,120.0
15,2º Trim 2007,150.0
15,3º Trim 2007,120.0
15,4º Trim 2007,110.0
15,1º Trim 2008,131.0
15,2º Trim 2008,136.0
15,3º Trim 2008,124.0
15,4º Trim 2008,122.0
15,1º Trim 2009,120.0
15,2º Trim 2009,126.0
15,3º Trim 2009,126.0
15,4º Trim 2009,116.0
15,1º Trim 2010,116.0
15,2º Trim 2010,121.0
15,3º Trim 2010,109.0
15,4º Trim 2010,108.0
15,1º Trim 2011,132.0
15,2º Trim 2011,148.0
15,3º Trim 2011,120.0
15,4º Trim 2011,109.0
15,1º Trim 2012,110.0
15,2º Trim 2012,121.0
15,3º Trim 2012,109.0
15,4º Trim 2012,98.0
15,1º Trim 2013,105.0
15,2º Trim 2013,120.0
15,3º Trim 2013,113.0
15,4º Trim 2013,107.0
15,1º Trim 2014,106.0
15,2º Trim 2014,120.0
15,3º Trim 2014,112.0
15,4º Trim 2014,98.0
15,1º Trim 2015,109.0
15,2º Trim 2015,128.0
15,3º Trim 2015,108.0
15,4º Trim 2015,94.0
15,1º Trim 2016,107.0
15,2º Trim 2016,112.0
15,3º Trim 2016,102.0
15,4º Trim 2016,92.0
15,1º Trim 2017,106.0
15,2º Trim 2017,114.0
15,3º Trim 2017,105.0
15,4º Trim 2017,94.0
15,1º Trim 2018,113.0
15,2º Trim 2018,124.0
15,3º Trim 2018,97.0
15,4º Trim 2018,94.0
15,1ro Trim 2019,114.0
15,2º Trim 2019,123.0
15,3º Trim 2019,100.0
15,4º Trim 2019,93.0
15,1º Trim 2020,95.0
15,2º Trim 2020,89.0
15,3º Trim 2020,82.0
15,4º Trim 2020,80.0
15,1º Trim 2021,81.0
15,2º Trim 2021,79.0
15,3º Trim 2021,73.0
15,4º Trim 2021,73.0
15,1º Trim 2022,86.0
