Período,Sector,Empresas
2016,B,326.0
2016,C,1182.0
2016,D,57887.0
2016,E,1141.0
2016,F,25686.0
2016,G,166671.0
2016,H,29907.0
2016,I,53165.0
2016,J,6167.0
2016,K,126501.0
2016,M,9507.0
2016,N,26888.0
2016,O,41746.0
2017,A,60682.0
2017,B,317.0
2017,C,1186.0
2017,D,57120.0
2017,E,1144.0
2017,F,26322.0
2017,G,169035.0
2017,H,30549.0
2017,I,52814.0
2017,J,6221.0
2017,K,125456.0
2017,M,9652.0
2017,N,27201.0
2017,O,41227.0
2018,A,59938.0
2018,B,318.0
2018,C,1193.0
2018,D,55629.0
2018,E,1150.0
2018,F,26127.0
2018,G,166297.0
2018,H,30568.0
2018,I,51110.0
2018,J,6250.0
2018,K,123361.0
2018,M,9639.0
2018,N,27265.0
2018,O,39989.0
2019,A,59533.0
2019,B,320.0
2019,C,1187.0
2019,D,53544.0
2019,E,1157.0
2019,F,25164.0
2019,G,160550.0
2019,H,29577.0
2019,I,48389.0
2019,J,6143.0
2019,K,119697.0
2019,M,9480.0
2019,N,26913.0
2019,O,37953.0
2020,A,59122.0
2020,B,317.0
2020,C,1163.0
2020,D,52365.0
2020,E,1156.0
2020,F,23672.0
2020,G,153916.0
2020,H,25859.0
2020,I,44774.0
2020,J,5988.0
2020,K,115248.0
2020,M,8944.0
2020,N,25888.0
2020,O,34948.0
2021,A,59634.0
2021,B,325.0
2021,C,1187.0
2021,D,52720.0
2021,E,1165.0
2021,F,24396.0
2021,G,156313.0
2021,H,26119.0
2021,I,43572.0
2021,J,5926.0
2021,K,113226.0
2021,M,8825.0
2021,N,25656.0
2021,O,33838.0
2022,A,59815.0
2022,B,322.0
2022,C,1229.0
2022,D,54223.0
2022,E,1173.0
2022,F,25077.0
2022,G,167420.0
2022,H,29625.0
2022,I,43943.0
2022,J,5894.0
2022,K,112300.0
2022,M,8955.0
2022,N,25880.0
2022,O,34492.0
2023,A,58779.0
2023,B,320.0
2023,C,1236.0
2023,D,54905.0
2023,E,1175.0
2023,F,24776.0
2023,G,170958.0
2023,H,30570.0
2023,I,42803.0
2023,J,5891.0
2023,K,110766.0
2023,M,9068.0
2023,N,26119.0
2023,O,34220.0
