Período,Tasa_Entrada,Tasa_Salida,Tasa_Rotacion
2º Trim 1996,7.686443321443813,6.496894979883232,14.183338301327044
3º Trim 1996,7.8668378103620915,6.084113026259069,13.950950836621162
4º Trim 1996,7.920693533182997,5.202904995956706,13.123598529139704
1º Trim 1997,8.491578953303458,5.872622556843978,14.364201510147437
2º Trim 1997,7.970133814135881,6.609613738042945,14.579747552178826
3º Trim 1997,7.755484705084262,6.198709413677733,13.954194118761995
4º Trim 1997,8.123274100862837,5.153614509644798,13.276888610507633
1º Trim 1998,8.715735538795563,6.168102233705992,14.883837772501554
2º Trim 1998,7.383487279388433,7.081666004282027,14.465153283670462
3º Trim 1998,6.948181751106859,6.350079670392763,13.298261421499621
4º Trim 1998,6.626515384742383,6.003948765112573,12.630464149854955
1º Trim 1999,7.1659532377168,7.51107906027155,14.67703229798835
2º Trim 1999,6.349876178525025,7.642629136482483,13.99250531500751
3º Trim 1999,5.544564475294248,6.550736457769118,12.095300933063365
4º Trim 1999,6.16768719431996,5.839665772431692,12.007352966751652
1º Trim 2000,6.760197113230844,6.713461689368858,13.4736588025997
2º Trim 2000,5.978026685481738,7.4514986959644185,13.429525381446156
3º Trim 2000,6.309845434161239,6.257182585446166,12.567028019607404
4º Trim 2000,6.807608225057031,5.659587721418803,12.467195946475835
1º Trim 2001,6.660499331197559,6.173273222458383,12.833772553655942
2º Trim 2001,5.89956836715571,7.296835881546403,13.196404248702112
3º Trim 2001,4.899739796450973,7.5041724070825895,12.403912203533562
4º Trim 2001,4.969170488716095,7.438964963042884,12.40813545175898
1º Trim 2002,4.4256656133589525,9.326386397230461,13.752052010589413
2º Trim 2002,4.56859602634669,7.384297386468066,11.952893412814754
3º Trim 2002,4.550063440782404,5.756115815393522,10.306179256175927
4º Trim 2002,5.784791662805006,4.69812743908438,10.482919101889387
1º Trim 2003,7.074671598541536,4.424834529194541,11.499506127736076
2º Trim 2003,6.893321435416587,5.1014635473622425,11.99478498277883
3º Trim 2003,6.7166136459315515,4.384535644073451,11.101149290005004
4º Trim 2003,7.53240035795734,4.077253384385872,11.609653742343212
1º Trim 2004,7.654181979460821,4.467602582654244,12.121784562115065
2º Trim 2004,7.1917394408743895,5.270793284634115,12.462532725508504
3º Trim 2004,7.447443204305247,4.242136121586936,11.689579325892183
4º Trim 2004,7.453102365965498,3.893523918858656,11.346626284824154
1º Trim 2005,7.696096194916542,4.486540576771613,12.182636771688156
2º Trim 2005,7.3872159897587535,5.36453104247982,12.751747032238574
3º Trim 2005,6.44189730220827,4.489447661213227,10.931344963421497
4º Trim 2005,7.499922823684113,3.9899848652644634,11.489907688948577
1º Trim 2006,7.410514385366993,4.876426999552861,12.286941384919855
2º Trim 2006,6.951260889437028,5.777045847535377,12.728306736972403
3º Trim 2006,6.052798554096406,4.6798815511922855,10.732680105288692
4º Trim 2006,7.158474102046365,4.104761445703281,11.263235547749646
1º Trim 2007,7.456847934957247,4.957016827579724,12.413864762536972
2º Trim 2007,6.835508105038381,5.637477669903265,12.472985774941646
3º Trim 2007,6.2344732954514015,4.636214410281059,10.870687705732461
4º Trim 2007,7.223165300826699,4.136403875805138,11.359569176631839
1º Trim 2008,7.105061520672152,5.500387535813449,12.605449056485599
2º Trim 2008,6.589666486262516,5.714987535917746,12.304654022180262
3º Trim 2008,5.3023523831748545,5.174080398716438,10.476432781891292
4º Trim 2008,5.526862622259843,5.049242663067902,10.576105285327746
1º Trim 2009,5.278844586985868,6.400340896623913,11.67918548360978
2º Trim 2009,5.12653885861965,6.754477615669765,11.881016474289414
3º Trim 2009,4.7575113398014475,4.942449417830054,9.699960757631501
4º Trim 2009,5.803524853613311,4.382486867533343,10.186011721146654
1º Trim 2010,6.051022822067558,4.911063559294942,10.9620863813625
2º Trim 2010,5.746374248617234,5.705791464362412,11.452165712979646
3º Trim 2010,4.983973021768899,4.409446527883799,9.393419549652696
4º Trim 2010,5.904690096093714,3.88467574699915,9.789365843092863
1º Trim 2011,6.328852512488215,4.496255867747966,10.82510838023618
2º Trim 2011,5.810383353201655,5.3648792649174535,11.175262618119108
3º Trim 2011,5.038689791672802,4.4437193452141726,9.482409136886973
4º Trim 2011,5.555287472547168,3.986986206293635,9.542273678840804
1º Trim 2012,5.3786710824637,4.967615633431844,10.346286715895543
2º Trim 2012,4.8769557664965335,5.902340141801937,10.77929590829847
3º Trim 2012,4.206961375143795,4.577826950176873,8.784788325320669
4º Trim 2012,5.069588334638934,3.918115768752756,8.987704103391689
1º Trim 2013,5.358516413844707,4.539844489560847,9.898360903405553
2º Trim 2013,4.858290559446235,5.477752376338621,10.336042935784857
3º Trim 2013,4.336526056530747,4.533343758551937,8.869869815082684
4º Trim 2013,4.810260201958199,3.9331549206482066,8.743415122606406
1º Trim 2014,4.935392217035712,4.7991721535231076,9.73456437055882
2º Trim 2014,4.751873310037693,5.6635742927346655,10.415447602772359
3º Trim 2014,4.164719800336987,4.105037582000605,8.269757382337591
4º Trim 2014,4.971737340291435,3.824579532365174,8.79631687265661
1º Trim 2015,5.278137017614425,4.078582600377337,9.35671961799176
2º Trim 2015,5.063290175797418,4.90095849368864,9.964248669486059
3º Trim 2015,4.265753061660901,3.9664203415728876,8.232173403233789
4º Trim 2015,4.33146577591336,3.907831031517053,8.239296807430414
1º Trim 2016,4.754126173074271,4.808999678228661,9.563125851302932
2º Trim 2016,4.203209798519445,5.551756721509843,9.754966520029289
3º Trim 2016,3.849955197304916,4.22943594752893,8.079391144833846
4º Trim 2016,4.6104405765250425,3.7415692659457127,8.352009842470755
1º Trim 2017,5.255749099008827,4.365579190043469,9.621328289052295
2º Trim 2017,4.598746438330232,5.2872801290936,9.886026567423832
3º Trim 2017,4.3415946271396395,3.964002041762131,8.30559666890177
4º Trim 2017,4.829982054801621,3.653865918295862,8.483847973097484
1º Trim 2018,5.350943507395211,4.6624636458738005,10.01340715326901
2º Trim 2018,4.473822516387345,5.570689328919854,10.044511845307198
3º Trim 2018,4.328364916849576,5.269463005319052,9.597827922168628
4º Trim 2018,4.1716639613528335,4.4393332231112055,8.61099718446404
