Período,Remuneracion
Mayo 2016,14824.0
Junio 2016,21632.065000000002
Julio 2016,15302.69
Agosto 2016,15460.705
Septiembre 2016,15483.91
Octubre 2016,16239.88
Noviembre 2016,16565.86
Diciembre 2016,24811.37
Enero 2017,17632.0
Febrero 2017,17391.31
Marzo 2017,17628.12
Abril 2017,18425.48
Mayo 2017,18878.45
Junio 2017,27812.88
Julio 2017,20405.15
Agosto 2017,20509.6
Septiembre 2017,20557.35
Octubre 2017,20945.31
Noviembre 2017,20991.61
Diciembre 2017,31028.67
Enero 2018,21865.0
Febrero 2018,21737.86
Marzo 2018,22049.94
Abril 2018,23121.05
Mayo 2018,23687.66
Junio 2018,34649.31
Julio 2018,24398.67
Agosto 2018,25315.59
Septiembre 2018,25397.625
Octubre 2018,26980.88
Noviembre 2018,28601.71
Diciembre 2018,41098.505000000005
Enero 2019,30357.74
Febrero 2019,29558.08
Marzo 2019,31011.74
Abril 2019,31686.864999999998
Mayo 2019,33383.0
Junio 2019,48913.31
Julio 2019,35454.11
Agosto 2019,36145.0
Septiembre 2019,37476.24
Octubre 2019,39623.51
Noviembre 2019,39828.43
Diciembre 2019,59149.26
Enero 2020,44309.725
Febrero 2020,45298.01
Marzo 2020,46338.19
Abril 2020,44895.56
Mayo 2020,45638.425
Junio 2020,68707.235
Julio 2020,47636.79
Agosto 2020,48338.92
Septiembre 2020,49478.015
Octubre 2020,53377.2
Noviembre 2020,53874.06
Diciembre 2020,80166.67
Enero 2021,57813.05
Febrero 2021,60346.759999999995
Marzo 2021,62883.425
Abril 2021,65156.48
Mayo 2021,68128.2
Junio 2021,99971.26
Julio 2021,72268.0
Agosto 2021,75189.1
Septiembre 2021,77319.7
Octubre 2021,79281.93
Noviembre 2021,83262.31
Diciembre 2021,121726.16
Enero 2022,89498.69
Febrero 2022,91635.01000000001
Marzo 2022,98681.94
Abril 2022,103832.32
Mayo 2022,111655.37
Junio 2022,165158.01
Julio 2022,119847.76000000001
Agosto 2022,132656.83
Septiembre 2022,141428.1
Octubre 2022,144779.58000000002
Noviembre 2022,155238.02
Diciembre 2022,245866.42
Enero 2023,171129.625
Febrero 2023,180620.075
Marzo 2023,198161.45
Abril 2023,218966.54
Mayo 2023,238171.285
Junio 2023,356955.27
Julio 2023,270081.58999999997
Agosto 2023,312312.66
Septiembre 2023,342176.65
Octubre 2023,365339.03
Noviembre 2023,404394.81
Diciembre 2023,647022.48
Enero 2024,547920.4
Febrero 2024,618024.2
Marzo 2024,681345.43
Abril 2024,786197.45
Mayo 2024,826587.81
Junio 2024,1258840.14
Julio 2024,934748.0
Agosto 2024,969111.23
Septiembre 2024,1000000.0
Octubre 2024,1063668.82
Noviembre 2024,1077032.6
Diciembre 2024,1640493.32
Enero 2025,1160733.26
Febrero 2025,1159890.22
Marzo 2025,1202671.56
Abril 2025,1231449.57
Mayo 2025,1252950.79
Junio 2025,1871843.98
Julio 2025,1318068.06
Agosto 2025,1345346.79
Septiembre 2025,1355988.3559182615
