Sector,Período,Empleo
11,1º Trim 1996,138505.0
11,2º Trim 1996,136930.0
11,3º Trim 1996,128537.0
11,4º Trim 1996,134058.0
11,1º Trim 1997,154433.0
11,2º Trim 1997,148063.0
11,3º Trim 1997,135488.0
11,4º Trim 1997,141704.0
11,1º Trim 1998,162171.0
11,2º Trim 1998,144033.0
11,3º Trim 1998,137655.0
11,4º Trim 1998,141601.0
11,1º Trim 1999,158848.0
11,2º Trim 1999,141103.0
11,3º Trim 1999,131816.0
11,4º Trim 1999,136146.0
11,1º Trim 2000,151946.0
11,2º Trim 2000,136875.0
11,3º Trim 2000,132154.0
11,4º Trim 2000,138136.0
11,1º Trim 2001,154126.0
11,2º Trim 2001,141508.0
11,3º Trim 2001,127382.0
11,4º Trim 2001,128548.0
11,1º Trim 2002,139109.0
11,2º Trim 2002,126619.0
11,3º Trim 2002,121317.0
11,4º Trim 2002,127585.0
11,1º Trim 2003,144156.0
11,2º Trim 2003,134570.0
11,3º Trim 2003,131553.0
11,4º Trim 2003,140194.0
11,1º Trim 2004,159953.0
11,2º Trim 2004,148032.0
11,3º Trim 2004,144453.0
11,4º Trim 2004,154641.0
11,1º Trim 2005,175495.0
11,2º Trim 2005,162453.0
11,3º Trim 2005,154673.0
11,4º Trim 2005,166276.0
11,1º Trim 2006,186621.0
11,2º Trim 2006,170855.0
11,3º Trim 2006,162284.0
11,4º Trim 2006,175164.0
11,1º Trim 2007,195343.0
11,2º Trim 2007,178487.0
11,3º Trim 2007,167332.0
11,4º Trim 2007,183667.0
11,1º Trim 2008,203685.0
11,2º Trim 2008,190260.0
11,3º Trim 2008,179506.0
11,4º Trim 2008,193170.0
11,1º Trim 2009,207405.0
11,2º Trim 2009,181628.0
11,3º Trim 2009,174270.0
11,4º Trim 2009,190417.0
11,1º Trim 2010,205770.0
11,2º Trim 2010,186023.0
11,3º Trim 2010,173317.0
11,4º Trim 2010,191843.0
11,1º Trim 2011,212790.0
11,2º Trim 2011,195874.0
11,3º Trim 2011,182759.0
11,4º Trim 2011,196581.0
11,1º Trim 2012,210683.0
11,2º Trim 2012,188369.0
11,3º Trim 2012,178749.0
11,4º Trim 2012,193580.0
11,1º Trim 2013,214846.0
11,2º Trim 2013,194621.0
11,3º Trim 2013,176837.0
11,4º Trim 2013,187412.0
11,1º Trim 2014,206867.0
11,2º Trim 2014,189891.0
11,3º Trim 2014,183971.0
11,4º Trim 2014,196768.0
11,1º Trim 2015,213398.0
11,2º Trim 2015,192363.0
11,3º Trim 2015,179518.0
11,4º Trim 2015,185271.0
11,1º Trim 2016,200194.0
11,2º Trim 2016,182281.0
11,3º Trim 2016,178056.0
11,4º Trim 2016,191331.0
11,1º Trim 2017,209358.0
11,2º Trim 2017,185290.0
11,3º Trim 2017,177989.0
11,4º Trim 2017,188462.0
11,1º Trim 2018,205964.0
11,2º Trim 2018,185215.0
11,3º Trim 2018,178314.0
11,4º Trim 2018,190659.0
11,1ro Trim 2019,206198.0
11,2º Trim 2019,188238.0
11,3º Trim 2019,179431.0
11,4º Trim 2019,185394.0
11,1º Trim 2020,202728.0
11,2º Trim 2020,180505.0
11,3º Trim 2020,173005.0
11,4º Trim 2020,178781.0
11,1º Trim 2021,197123.0
11,2º Trim 2021,183771.0
11,3º Trim 2021,175814.0
11,4º Trim 2021,179618.0
11,1º Trim 2022,193423.0
11,2º Trim 2022,177329.0
11,3º Trim 2022,171455.0
11,4º Trim 2022,175101.0
11,1º Trim 2023,190978.0
11,2º Trim 2023,174450.0
11,3º Trim 2023,169116.0
11,4º Trim 2023,171984.0
11,1º Trim 2024,192690.0
11,2º Trim 2024,180711.0
12,1º Trim 1996,80283.0
12,2º Trim 1996,80860.0
12,3º Trim 1996,82087.0
12,4º Trim 1996,83533.0
12,1º Trim 1997,83858.0
12,2º Trim 1997,84268.0
12,3º Trim 1997,84132.0
12,4º Trim 1997,85852.0
12,1º Trim 1998,85664.0
12,2º Trim 1998,85450.0
12,3º Trim 1998,85350.0
12,4º Trim 1998,86368.0
12,1º Trim 1999,85445.0
12,2º Trim 1999,84302.0
12,3º Trim 1999,83208.0
12,4º Trim 1999,82837.0
12,1º Trim 2000,81782.0
12,2º Trim 2000,80442.0
12,3º Trim 2000,80043.0
12,4º Trim 2000,80218.0
12,1º Trim 2001,79831.0
12,2º Trim 2001,79171.0
12,3º Trim 2001,78038.0
12,4º Trim 2001,77136.0
12,1º Trim 2002,75270.0
12,2º Trim 2002,74912.0
12,3º Trim 2002,75087.0
12,4º Trim 2002,76803.0
12,1º Trim 2003,77426.0
12,2º Trim 2003,78744.0
12,3º Trim 2003,80006.0
12,4º Trim 2003,82063.0
12,1º Trim 2004,82875.0
12,2º Trim 2004,83903.0
12,3º Trim 2004,85730.0
12,4º Trim 2004,87671.0
12,1º Trim 2005,87859.0
12,2º Trim 2005,89098.0
12,3º Trim 2005,90720.0
12,4º Trim 2005,92982.0
12,1º Trim 2006,93662.0
12,2º Trim 2006,93673.0
12,3º Trim 2006,94574.0
12,4º Trim 2006,95725.0
12,1º Trim 2007,95646.0
12,2º Trim 2007,95489.0
12,3º Trim 2007,96425.0
12,4º Trim 2007,98002.0
12,1º Trim 2008,97742.0
12,2º Trim 2008,98110.0
12,3º Trim 2008,98944.0
12,4º Trim 2008,99213.0
12,1º Trim 2009,97629.0
12,2º Trim 2009,96110.0
12,3º Trim 2009,95518.0
12,4º Trim 2009,96095.0
12,1º Trim 2010,95371.0
12,2º Trim 2010,94711.0
12,3º Trim 2010,95358.0
12,4º Trim 2010,96693.0
12,1º Trim 2011,97476.0
12,2º Trim 2011,98228.0
12,3º Trim 2011,99094.0
12,4º Trim 2011,99725.0
12,1º Trim 2012,99464.0
12,2º Trim 2012,98774.0
12,3º Trim 2012,98704.0
12,4º Trim 2012,99279.0
12,1º Trim 2013,98750.0
12,2º Trim 2013,97812.0
12,3º Trim 2013,96997.0
12,4º Trim 2013,96890.0
12,1º Trim 2014,96479.0
12,2º Trim 2014,95539.0
12,3º Trim 2014,95140.0
12,4º Trim 2014,95579.0
12,1º Trim 2015,95306.0
12,2º Trim 2015,94417.0
12,3º Trim 2015,93767.0
12,4º Trim 2015,93692.0
12,1º Trim 2016,93607.0
12,2º Trim 2016,92323.0
12,3º Trim 2016,92270.0
12,4º Trim 2016,92736.0
12,1º Trim 2017,92514.0
12,2º Trim 2017,91713.0
12,3º Trim 2017,91698.0
12,4º Trim 2017,92208.0
12,1º Trim 2018,92317.0
12,2º Trim 2018,91579.0
12,3º Trim 2018,90977.0
12,4º Trim 2018,91818.0
12,1ro Trim 2019,91584.0
12,2º Trim 2019,90973.0
12,3º Trim 2019,91274.0
12,4º Trim 2019,92431.0
12,1º Trim 2020,92078.0
12,2º Trim 2020,91707.0
12,3º Trim 2020,92389.0
