Período,"Agricultura, ganadería y pesca",Minería y petróleo (3),Industria,"Electricidad, gas y agua (3)",Construcción,Comercio,Servicios,Total
1º Trim 1996,232639.0,33052.0,879184.0,44277.0,180367.0,517374.0,1509886.0,3396779.0
2º Trim 1996,242491.0,33732.0,891385.0,44639.0,189698.0,529241.0,1542967.0,3474153.0
3º Trim 1996,249134.0,34170.0,902474.0,45254.0,203180.0,540335.0,1577434.0,3551981.0
4º Trim 1996,252904.0,36234.0,911309.0,44488.0,214158.0,550875.0,1610414.0,3620382.0
1º Trim 1997,258669.0,35707.0,922718.0,44709.0,230678.0,561835.0,1647640.0,3701956.0
2º Trim 1997,264534.0,37067.0,932990.0,45016.0,239487.0,572164.0,1690650.0,3781908.0
3º Trim 1997,264027.0,37630.0,939155.0,47387.0,247076.0,585338.0,1738871.0,3859484.0
4º Trim 1997,266014.0,37678.0,947558.0,47626.0,253540.0,598145.0,1795467.0,3946028.0
1º Trim 1998,269185.0,38583.0,951315.0,47983.0,258858.0,608855.0,1855407.0,4030186.0
2º Trim 1998,265681.0,39071.0,956459.0,47999.0,264097.0,619470.0,1886238.0,4079015.0
3º Trim 1998,269052.0,38891.0,952915.0,49013.0,269982.0,625317.0,1911031.0,4116201.0
4º Trim 1998,268584.0,37144.0,942017.0,48348.0,272748.0,627246.0,1914991.0,4111078.0
1º Trim 1999,267287.0,35422.0,927447.0,48240.0,273798.0,625625.0,1903554.0,4081373.0
2º Trim 1999,262509.0,34764.0,906991.0,48213.0,275245.0,623799.0,1909502.0,4061023.0
3º Trim 1999,260012.0,35002.0,891410.0,49240.0,268682.0,619867.0,1909471.0,4033684.0
4º Trim 1999,259609.0,35754.0,881395.0,49200.0,257315.0,618440.0,1915635.0,4017348.0
1º Trim 2000,257866.0,36584.0,870730.0,48749.0,243810.0,621428.0,1921102.0,4000269.0
2º Trim 2000,256675.0,36922.0,860039.0,48886.0,228861.0,621652.0,1925738.0,3978773.0
3º Trim 2000,259430.0,36911.0,853801.0,48376.0,225146.0,627208.0,1940387.0,3991259.0
4º Trim 2000,260309.0,36694.0,847806.0,48906.0,227756.0,634633.0,1954675.0,4010779.0
1º Trim 2001,260409.0,37775.0,841703.0,48923.0,226631.0,639233.0,1958593.0,4013267.0
2º Trim 2001,261667.0,38308.0,831163.0,48808.0,219911.0,638464.0,1951251.0,3989572.0
3º Trim 2001,253363.0,37431.0,810476.0,49064.0,201028.0,626630.0,1921648.0,3899640.0
4º Trim 2001,246397.0,37022.0,780497.0,48668.0,176946.0,608746.0,1882329.0,3780605.0
1º Trim 2002,241293.0,36216.0,742936.0,47792.0,136811.0,580110.0,1805729.0,3590887.0
2º Trim 2002,240467.0,34791.0,730873.0,46131.0,120219.0,566291.0,1776955.0,3515727.0
3º Trim 2002,243267.0,34535.0,727944.0,45970.0,116005.0,556671.0,1763775.0,3488167.0
4º Trim 2002,246500.0,35399.0,733289.0,45880.0,121228.0,555394.0,1763183.0,3500873.0
1º Trim 2003,251870.0,36765.0,753643.0,45893.0,135608.0,563672.0,1792490.0,3579941.0
2º Trim 2003,258422.0,38136.0,774804.0,46068.0,150515.0,577993.0,1829937.0,3675875.0
3º Trim 2003,264238.0,39320.0,798892.0,46363.0,164952.0,597490.0,1866659.0,3777914.0
4º Trim 2003,269246.0,40422.0,824058.0,46505.0,179694.0,616594.0,1905849.0,3882368.0
1º Trim 2004,276723.0,42352.0,850723.0,47501.0,193823.0,636345.0,1943214.0,3990681.0
2º Trim 2004,283998.0,43406.0,875809.0,47906.0,205431.0,656853.0,1991540.0,4104943.0
3º Trim 2004,290449.0,44799.0,899609.0,48228.0,220463.0,685523.0,2069571.0,4258642.0
4º Trim 2004,295437.0,46536.0,924376.0,48760.0,237893.0,708589.0,2117033.0,4378624.0
1º Trim 2005,303059.0,48254.0,948588.0,48924.0,260520.0,728790.0,2172928.0,4511063.0
2º Trim 2005,308787.0,50610.0,967181.0,49560.0,282590.0,749218.0,2224934.0,4632880.0
3º Trim 2005,313863.0,51466.0,986367.0,49638.0,304533.0,767661.0,2277021.0,4750549.0
4º Trim 2005,318606.0,52684.0,1010648.0,50454.0,328091.0,788071.0,2330666.0,4879220.0
1º Trim 2006,323808.0,54880.0,1031600.0,51752.0,342834.0,806580.0,2378445.0,4989899.0
2º Trim 2006,327184.0,55641.0,1051366.0,51168.0,355376.0,824063.0,2423524.0,5088322.0
3º Trim 2006,331003.0,56782.0,1067475.0,51732.0,364301.0,842103.0,2469359.0,5182755.0
4º Trim 2006,333477.0,58901.0,1086313.0,52090.0,382452.0,862799.0,2520285.0,5296317.0
1º Trim 2007,337707.0,61241.0,1106097.0,52458.0,403446.0,888158.0,2569107.0,5418214.0
2º Trim 2007,340483.0,62707.0,1124313.0,52764.0,419628.0,906912.0,2617902.0,5524709.0
3º Trim 2007,343482.0,64649.0,1144072.0,52775.0,431545.0,929707.0,2671508.0,5637738.0
4º Trim 2007,348738.0,66607.0,1164104.0,53201.0,432217.0,963546.0,2735828.0,5764241.0
1º Trim 2008,352995.0,68479.0,1184161.0,53795.0,432995.0,976544.0,2777606.0,5846575.0
2º Trim 2008,360516.0,69564.0,1203264.0,54217.0,435848.0,996005.0,2817667.0,5937081.0
3º Trim 2008,362664.0,70540.0,1210840.0,54365.0,427727.0,1010176.0,2833638.0,5969950.0
4º Trim 2008,363179.0,70807.0,1202484.0,54399.0,417212.0,1010527.0,2827249.0,5945857.0
1º Trim 2009,355769.0,69550.0,1184949.0,54550.0,402471.0,1005291.0,2793627.0,5866207.0
2º Trim 2009,348057.0,68352.0,1169249.0,55578.0,396571.0,1003219.0,2776972.0,5817998.0
3º Trim 2009,352005.0,67962.0,1169306.0,55929.0,394588.0,1005084.0,2782717.0,5827591.0
4º Trim 2009,353551.0,68057.0,1175995.0,56282.0,389643.0,1011692.0,2803022.0,5858242.0
1º Trim 2010,350328.0,68999.0,1187693.0,56399.0,390409.0,1022967.0,2834333.0,5911128.0
2º Trim 2010,348963.0,69651.0,1198476.0,56633.0,392759.0,1032642.0,2861353.0,5960477.0
3º Trim 2010,349730.0,70741.0,1208498.0,57488.0,400058.0,1043972.0,2886869.0,6017356.0
4º Trim 2010,353423.0,71928.0,1217299.0,57592.0,412635.0,1056425.0,2917356.0,6086658.0
1º Trim 2011,361238.0,73074.0,1236266.0,58347.0,427632.0,1068853.0,2955219.0,6180629.0
2º Trim 2011,367711.0,73662.0,1252911.0,58990.0,437867.0,1081354.0,2989891.0,6262386.0
3º Trim 2011,366758.0,74813.0,1264740.0,59532.0,444969.0,1092264.0,3018522.0,6321598.0
4º Trim 2011,367783.0,76151.0,1274581.0,60230.0,450013.0,1101619.0,3036734.0,6367111.0
1º Trim 2012,360633.0,77344.0,1271871.0,60401.0,444620.0,1103737.0,3049246.0,6367852.0
2º Trim 2012,356932.0,77789.0,1274080.0,60999.0,435892.0,1106462.0,3049848.0,6362002.0
3º Trim 2012,358902.0,78205.0,1275107.0,61118.0,426056.0,1107536.0,3052259.0,6359183.0
4º Trim 2012,359876.0,78781.0,1281376.0,61923.0,421172.0,1112385.0,3063336.0,6378849.0
1º Trim 2013,364117.0,79800.0,1291832.0,62768.0,425759.0,1117335.0,3070676.0,6412287.0
2º Trim 2013,362864.0,80390.0,1290183.0,63345.0,430617.0,1117459.0,3077782.0,6422640.0
3º Trim 2013,354803.0,81428.0,1291910.0,64261.0,430969.0,1120873.0,3086128.0,6430372.0
4º Trim 2013,348847.0,83185.0,1292904.0,65047.0,430823.0,1124486.0,3092414.0,6437706.0
1º Trim 2014,350319.0,85401.0,1286665.0,65802.0,425445.0,1124799.0,3083653.0,6422084.0
2º Trim 2014,353953.0,86531.0,1281690.0,66617.0,423383.0,1124192.0,3084813.0,6421179.0
3º Trim 2014,360736.0,87803.0,1278379.0,67227.0,428037.0,1124836.0,3091266.0,6438284.0
4º Trim 2014,364352.0,89616.0,1277101.0,68163.0,435690.0,1126234.0,3106441.0,6467597.0
1º Trim 2015,362927.0,91217.0,1283211.0,68729.0,448901.0,1133456.0,3132158.0,6520599.0
2º Trim 2015,363358.0,90883.0,1293965.0,69564.0,463422.0,1143969.0,3162294.0,6587455.0
3º Trim 2015,357997.0,90420.0,1300281.0,70365.0,465823.0,1151232.0,3184030.0,6620148.0
4º Trim 2015,350531.0,89378.0,1297733.0,70691.0,449507.0,1155456.0,3193036.0,6606332.0
1º Trim 2016,349902.0,88101.0,1288434.0,70975.0,423452.0,1161719.0,3191350.0,6573933.0
2º Trim 2016,349101.0,85735.0,1276082.0,70993.0,413568.0,1162283.0,3183907.0,6541669.0
3º Trim 2016,354127.0,84523.0,1266256.0,71342.0,414728.0,1164971.0,3175392.0,6531339.0
4º Trim 2016,359613.0,83917.0,1260047.0,71669.0,423139.0,1169403.0,3181231.0,6549019.0
1º Trim 2017,358312.0,82478.0,1254268.0,72458.0,437516.0,1170836.0,3198848.0,6574716.0
2º Trim 2017,357267.0,81097.0,1250029.0,72758.0,448523.0,1175258.0,3207080.0,6592012.0
3º Trim 2017,357861.0,81033.0,1244257.0,73336.0,461641.0,1180548.0,3227725.0,6626401.0
4º Trim 2017,361170.0,81186.0,1246616.0,73950.0,473439.0,1190066.0,3241705.0,6668132.0
1º Trim 2018,363171.0,81493.0,1243393.0,74313.0,478052.0,1193662.0,3247569.0,6681653.0
2º Trim 2018,360424.0,84806.0,1231296.0,74213.0,476660.0,1190215.0,3246929.0,6664543.0
3º Trim 2018,365525.0,85153.0,1213112.0,74058.0,468460.0,1181357.0,3226907.0,6614572.0
4º Trim 2018,373038.0,86488.0,1194447.0,74010.0,460503.0,1165535.0,3209656.0,6563677.0
1º Trim 2019,367895.0,87967.0,1181664.0,74144.0,470774.0,1154334.0,3196189.0,6532967.0
2º Trim 2019,370989.0,89156.0,1172399.0,74216.0,465803.0,1146777.0,3182384.0,6501724.0
3º Trim 2019,368883.0,90088.0,1162673.0,74311.0,453148.0,1140902.0,3179128.0,6469133.0
4º Trim 2019,367249.0,89758.0,1148592.0,74145.0,422269.0,1133448.0,3167246.0,6402707.0
1º Trim 2020,363627.0,88939.0,1138952.0,73776.0,394423.0,1128676.0,3150077.0,6338470.0
2º Trim 2020,358899.0,86623.0,1132712.0,73509.0,335640.0,1109453.0,3048890.0,6145726.0
3º Trim 2020,357095.0,83946.0,1140424.0,73623.0,330719.0,1106037.0,3038075.0,6129919.0
4º Trim 2020,356699.0,82507.0,1153059.0,73731.0,346879.0,1107234.0,3036377.0,6156486.0
1º Trim 2021,360494.0,84172.0,1163967.0,74040.0,365135.0,1110206.0,3045784.0,6203798.0
2º Trim 2021,366274.0,84813.0,1174635.0,74124.0,378288.0,1118620.0,3066658.0,6263412.0
3º Trim 2021,366978.0,85473.0,1178501.0,74158.0,392738.0,1122838.0,3072744.0,6293430.0
4º Trim 2021,363716.0,86370.0,1189569.0,74295.0,408871.0,1138544.0,3115922.0,6377287.0
1º Trim 2022,360583.0,88104.0,1205184.0,74436.0,425498.0,1158220.0,3157851.0,6469876.0
2º Trim 2022,358010.0,89264.0,1222670.0,74550.0,442655.0,1178372.0,3192580.0,6558101.0
3º Trim 2022,355677.0,91171.0,1234008.0,75007.0,455066.0,1194522.0,3218921.0,6624372.0
4º Trim 2022,355094.0,93038.0,1243986.0,75518.0,467950.0,1211257.0,3237074.0,6683917.0
1º Trim 2023,354549.0,94941.0,1256028.0,75832.0,481413.0,1228625.0,3255640.0,6747028.0
2º Trim 2023,352533.0,96170.0,1265347.0,75843.0,489905.0,1244766.0,3275013.0,6799577.0
3º Trim 2023,355435.0,97697.0,1271694.0,76255.0,482351.0,1258696.0,3284926.0,6827054.0
4º Trim 2023,352389.0,98731.0,1267954.0,76896.0,455223.0,1264223.0,3279640.0,6795056.0
1º Trim 2024,358989.0,100146.0,1255217.0,77008.0,412539.0,1260197.0,3256030.0,6720126.0
2º Trim 2024,362547.0,99812.0,1237772.0,76417.0,390276.0,1254874.0,3231594.0,6653292.0
