Sector,Período,Empleo
111,1º Trim 1996,40495.0
111,2º Trim 1996,43972.0
111,3º Trim 1996,44189.0
111,4º Trim 1996,46395.0
111,1º Trim 1997,47205.0
111,2º Trim 1997,49660.0
111,3º Trim 1997,47738.0
111,4º Trim 1997,50374.0
111,1º Trim 1998,52135.0
111,2º Trim 1998,53345.0
111,3º Trim 1998,50740.0
111,4º Trim 1998,51394.0
111,1º Trim 1999,51525.0
111,2º Trim 1999,52164.0
111,3º Trim 1999,48800.0
111,4º Trim 1999,49208.0
111,1º Trim 2000,48715.0
111,2º Trim 2000,49308.0
111,3º Trim 2000,47291.0
111,4º Trim 2000,48696.0
111,1º Trim 2001,48745.0
111,2º Trim 2001,49891.0
111,3º Trim 2001,46873.0
111,4º Trim 2001,47044.0
111,1º Trim 2002,45943.0
111,2º Trim 2002,47724.0
111,3º Trim 2002,46034.0
111,4º Trim 2002,48489.0
111,1º Trim 2003,49645.0
111,2º Trim 2003,52090.0
111,3º Trim 2003,51284.0
111,4º Trim 2003,53318.0
111,1º Trim 2004,55264.0
111,2º Trim 2004,58269.0
111,3º Trim 2004,55963.0
111,4º Trim 2004,58308.0
111,1º Trim 2005,60892.0
111,2º Trim 2005,64469.0
111,3º Trim 2005,60377.0
111,4º Trim 2005,62393.0
111,1º Trim 2006,64568.0
111,2º Trim 2006,67358.0
111,3º Trim 2006,63274.0
111,4º Trim 2006,65317.0
111,1º Trim 2007,69225.0
111,2º Trim 2007,71735.0
111,3º Trim 2007,66004.0
111,4º Trim 2007,68490.0
111,1º Trim 2008,72418.0
111,2º Trim 2008,75966.0
111,3º Trim 2008,69709.0
111,4º Trim 2008,70657.0
111,1º Trim 2009,71550.0
111,2º Trim 2009,71721.0
111,3º Trim 2009,66652.0
111,4º Trim 2009,68749.0
111,1º Trim 2010,72668.0
111,2º Trim 2010,75396.0
111,3º Trim 2010,68676.0
111,4º Trim 2010,70201.0
111,1º Trim 2011,74667.0
111,2º Trim 2011,78795.0
111,3º Trim 2011,72139.0
111,4º Trim 2011,73141.0
111,1º Trim 2012,73478.0
111,2º Trim 2012,73615.0
111,3º Trim 2012,68887.0
111,4º Trim 2012,69903.0
111,1º Trim 2013,72494.0
111,2º Trim 2013,73309.0
111,3º Trim 2013,67497.0
111,4º Trim 2013,67456.0
111,1º Trim 2014,68403.0
111,2º Trim 2014,70188.0
111,3º Trim 2014,67091.0
111,4º Trim 2014,66844.0
111,1º Trim 2015,69593.0
111,2º Trim 2015,70869.0
111,3º Trim 2015,64631.0
111,4º Trim 2015,63519.0
111,1º Trim 2016,66776.0
111,2º Trim 2016,66896.0
111,3º Trim 2016,63529.0
111,4º Trim 2016,64068.0
111,1º Trim 2017,67539.0
111,2º Trim 2017,68865.0
111,3º Trim 2017,64813.0
111,4º Trim 2017,64379.0
111,1º Trim 2018,65677.0
111,2º Trim 2018,65504.0
111,3º Trim 2018,63203.0
111,4º Trim 2018,63911.0
111,1º Trim 2019,67024.0
111,2º Trim 2019,68295.0
111,3º Trim 2019,64342.0
111,4º Trim 2019,64790.0
111,1ro Trim 2020,68214.0
111,2º Trim 2020,67227.0
111,3º Trim 2020,65548.0
111,4º Trim 2020,66081.0
111,1º Trim 2021,68799.0
111,2º Trim 2021,70270.0
111,3º Trim 2021,68048.0
111,4º Trim 2021,68349.0
111,1º Trim 2022,71888.0
111,2º Trim 2022,72175.0
111,3º Trim 2022,69414.0
111,4º Trim 2022,69830.0
111,1º Trim 2023,72925.0
111,2º Trim 2023,72360.0
111,3º Trim 2023,69397.0
111,4º Trim 2023,69465.0
111,1º Trim 2024,72499.0
111,2º Trim 2024,73361.0
112,1º Trim 1996,9885.0
112,2º Trim 1996,10021.0
112,3º Trim 1996,9839.0
112,4º Trim 1996,10480.0
112,1º Trim 1997,11792.0
112,2º Trim 1997,11637.0
112,3º Trim 1997,10750.0
112,4º Trim 1997,11632.0
112,1º Trim 1998,12689.0
112,2º Trim 1998,12073.0
112,3º Trim 1998,11038.0
112,4º Trim 1998,11699.0
112,1º Trim 1999,12354.0
112,2º Trim 1999,11383.0
112,3º Trim 1999,10398.0
112,4º Trim 1999,10729.0
112,1º Trim 2000,10961.0
112,2º Trim 2000,11123.0
112,3º Trim 2000,10105.0
112,4º Trim 2000,10205.0
112,1º Trim 2001,10595.0
112,2º Trim 2001,10421.0
112,3º Trim 2001,9341.0
112,4º Trim 2001,9298.0
112,1º Trim 2002,8798.0
112,2º Trim 2002,9088.0
112,3º Trim 2002,8255.0
112,4º Trim 2002,8595.0
112,1º Trim 2003,9188.0
112,2º Trim 2003,9570.0
112,3º Trim 2003,9341.0
112,4º Trim 2003,10462.0
112,1º Trim 2004,10784.0
112,2º Trim 2004,11508.0
112,3º Trim 2004,11807.0
112,4º Trim 2004,12205.0
112,1º Trim 2005,11732.0
112,2º Trim 2005,12916.0
112,3º Trim 2005,13269.0
112,4º Trim 2005,13793.0
112,1º Trim 2006,14668.0
112,2º Trim 2006,15220.0
112,3º Trim 2006,14652.0
112,4º Trim 2006,14531.0
112,1º Trim 2007,14468.0
112,2º Trim 2007,15657.0
112,3º Trim 2007,15031.0
112,4º Trim 2007,15597.0
112,1º Trim 2008,16144.0
112,2º Trim 2008,17191.0
112,3º Trim 2008,17076.0
112,4º Trim 2008,16441.0
112,1º Trim 2009,15958.0
112,2º Trim 2009,16866.0
112,3º Trim 2009,16774.0
112,4º Trim 2009,17774.0
112,1º Trim 2010,16859.0
112,2º Trim 2010,17674.0
112,3º Trim 2010,17133.0
112,4º Trim 2010,18173.0
112,1º Trim 2011,18803.0
112,2º Trim 2011,19339.0
112,3º Trim 2011,18157.0
112,4º Trim 2011,18713.0
112,1º Trim 2012,18435.0
112,2º Trim 2012,18744.0
112,3º Trim 2012,18385.0
112,4º Trim 2012,18526.0
112,1º Trim 2013,17909.0
112,2º Trim 2013,18660.0
112,3º Trim 2013,16719.0
112,4º Trim 2013,16893.0
112,1º Trim 2014,17622.0
112,2º Trim 2014,19004.0
112,3º Trim 2014,19266.0
112,4º Trim 2014,18688.0
112,1º Trim 2015,18642.0
112,2º Trim 2015,18319.0
112,3º Trim 2015,17274.0
112,4º Trim 2015,17114.0
112,1º Trim 2016,17769.0
112,2º Trim 2016,17980.0
112,3º Trim 2016,17655.0
112,4º Trim 2016,18815.0
112,1º Trim 2017,19096.0
112,2º Trim 2017,18988.0
112,3º Trim 2017,18209.0
112,4º Trim 2017,18917.0
112,1º Trim 2018,19246.0
112,2º Trim 2018,18369.0
112,3º Trim 2018,17673.0
