Sector,Período,Empleo
A,1º Trim 1996,234248.0
A,2º Trim 1996,236404.0
A,3º Trim 1996,231716.0
A,4º Trim 1996,238303.0
A,1º Trim 1997,259255.0
A,2º Trim 1997,257795.0
A,3º Trim 1997,245800.0
A,4º Trim 1997,251013.0
A,1º Trim 1998,271099.0
A,2º Trim 1998,257000.0
A,3º Trim 1998,251940.0
A,4º Trim 1998,253843.0
A,1º Trim 1999,269245.0
A,2º Trim 1999,254411.0
A,3º Trim 1999,244971.0
A,4º Trim 1999,245422.0
A,1º Trim 2000,258906.0
A,2º Trim 2000,249496.0
A,3º Trim 2000,245513.0
A,4º Trim 2000,245175.0
A,1º Trim 2001,259454.0
A,2º Trim 2001,253582.0
A,3º Trim 2001,238623.0
A,4º Trim 2001,229718.0
A,1º Trim 2002,236913.0
A,2º Trim 2002,231566.0
A,3º Trim 2002,226600.0
A,4º Trim 2002,226989.0
A,1º Trim 2003,246227.0
A,2º Trim 2003,247825.0
A,3º Trim 2003,246049.0
A,4º Trim 2003,247900.0
A,1º Trim 2004,270640.0
A,2º Trim 2004,273034.0
A,3º Trim 2004,270044.0
A,4º Trim 2004,273508.0
A,1º Trim 2005,297148.0
A,2º Trim 2005,299214.0
A,3º Trim 2005,292006.0
A,4º Trim 2005,296325.0
A,1º Trim 2006,318659.0
A,2º Trim 2006,315350.0
A,3º Trim 2006,306262.0
A,4º Trim 2006,312654.0
A,1º Trim 2007,332662.0
A,2º Trim 2007,328528.0
A,3º Trim 2007,317520.0
A,4º Trim 2007,330462.0
A,1º Trim 2008,347832.0
A,2º Trim 2008,350359.0
A,3º Trim 2008,335796.0
A,4º Trim 2008,346921.0
A,1º Trim 2009,351821.0
A,2º Trim 2009,337371.0
A,3º Trim 2009,326211.0
A,4º Trim 2009,339043.0
A,1º Trim 2010,346344.0
A,2º Trim 2010,338964.0
A,3º Trim 2010,323650.0
A,4º Trim 2010,338641.0
A,1º Trim 2011,357376.0
A,2º Trim 2011,357051.0
A,3º Trim 2011,340007.0
A,4º Trim 2011,351846.0
A,1º Trim 2012,357672.0
A,2º Trim 2012,346674.0
A,3º Trim 2012,334808.0
A,4º Trim 2012,344235.0
A,1º Trim 2013,361847.0
A,2º Trim 2013,353717.0
A,3º Trim 2013,331499.0
A,4º Trim 2013,332424.0
A,1º Trim 2014,349426.0
A,2º Trim 2014,342586.0
A,3º Trim 2014,338033.0
A,4º Trim 2014,348379.0
A,1º Trim 2015,362414.0
A,2º Trim 2015,350820.0
A,3º Trim 2015,335870.0
A,4º Trim 2015,335428.0
A,1º Trim 2016,348129.0
A,2º Trim 2016,337307.0
A,3º Trim 2016,333290.0
A,4º Trim 2016,346343.0
A,1º Trim 2017,358403.0
A,2º Trim 2017,343743.0
A,3º Trim 2017,336871.0
A,4º Trim 2017,347780.0
A,1º Trim 2018,361731.0
A,2º Trim 2018,347937.0
A,3º Trim 2018,344739.0
A,4º Trim 2018,358451.0
A,1º Trim 2019,366309.0
A,2º Trim 2019,358332.0
A,3º Trim 2019,348848.0
A,4º Trim 2019,351928.0
A,1ro Trim 2020,361964.0
A,2º Trim 2020,347239.0
A,3º Trim 2020,338507.0
A,4º Trim 2020,340092.0
A,1º Trim 2021,357847.0
A,2º Trim 2021,354675.0
A,3º Trim 2021,347768.0
A,4º Trim 2021,345747.0
A,1º Trim 2022,358044.0
A,2º Trim 2022,346700.0
A,3º Trim 2022,337238.0
A,4º Trim 2022,336533.0
A,1º Trim 2023,352320.0
A,2º Trim 2023,341875.0
A,3º Trim 2023,336544.0
A,4º Trim 2023,333348.0
A,1º Trim 2024,355704.0
A,2º Trim 2024,352799.0
B,1º Trim 1996,8115.0
B,2º Trim 1996,9254.0
B,3º Trim 1996,9454.0
B,4º Trim 1996,8727.0
B,1º Trim 1997,9725.0
B,2º Trim 1997,10476.0
B,3º Trim 1997,10049.0
B,4º Trim 1997,9002.0
B,1º Trim 1998,9893.0
B,2º Trim 1998,10630.0
B,3º Trim 1998,9581.0
B,4º Trim 1998,8833.0
B,1º Trim 1999,9416.0
B,2º Trim 1999,9515.0
B,3º Trim 1999,8685.0
B,4º Trim 1999,8506.0
B,1º Trim 2000,9010.0
B,2º Trim 2000,8690.0
B,3º Trim 2000,8643.0
B,4º Trim 2000,9003.0
B,1º Trim 2001,9980.0
B,2º Trim 2001,10566.0
B,3º Trim 2001,10144.0
B,4º Trim 2001,10275.0
B,1º Trim 2002,11363.0
B,2º Trim 2002,12716.0
B,3º Trim 2002,12453.0
B,4º Trim 2002,12539.0
B,1º Trim 2003,13607.0
B,2º Trim 2003,14589.0
B,3º Trim 2003,13186.0
B,4º Trim 2003,13578.0
B,1º Trim 2004,15119.0
B,2º Trim 2004,15599.0
B,3º Trim 2004,14092.0
B,4º Trim 2004,13887.0
B,1º Trim 2005,15153.0
B,2º Trim 2005,15546.0
B,3º Trim 2005,13904.0
B,4º Trim 2005,14865.0
B,1º Trim 2006,16012.0
B,2º Trim 2006,16828.0
B,3º Trim 2006,15243.0
B,4º Trim 2006,14923.0
B,1º Trim 2007,15929.0
B,2º Trim 2007,16621.0
B,3º Trim 2007,15145.0
B,4º Trim 2007,14318.0
B,1º Trim 2008,14625.0
B,2º Trim 2008,15642.0
B,3º Trim 2008,14833.0
B,4º Trim 2008,13846.0
B,1º Trim 2009,14129.0
B,2º Trim 2009,14401.0
B,3º Trim 2009,13729.0
B,4º Trim 2009,13153.0
B,1º Trim 2010,13749.0
B,2º Trim 2010,13524.0
B,3º Trim 2010,14112.0
B,4º Trim 2010,13247.0
B,1º Trim 2011,14239.0
B,2º Trim 2011,14351.0
B,3º Trim 2011,14392.0
B,4º Trim 2011,13698.0
B,1º Trim 2012,13813.0
B,2º Trim 2012,13505.0
B,3º Trim 2012,12761.0
B,4º Trim 2012,12487.0
B,1º Trim 2013,12648.0
B,2º Trim 2013,13082.0
B,3º Trim 2013,12805.0
B,4º Trim 2013,12931.0
B,1º Trim 2014,12469.0
B,2º Trim 2014,12981.0
B,3º Trim 2014,12785.0
B,4º Trim 2014,12621.0
B,1º Trim 2015,12664.0
B,2º Trim 2015,13072.0
B,3º Trim 2015,12617.0
B,4º Trim 2015,12577.0
B,1º Trim 2016,12659.0
B,2º Trim 2016,12001.0
B,3º Trim 2016,11743.0
B,4º Trim 2016,11574.0
